#{"t_start": 1651643624.4482586, "env_id": "Hopper-v3"}
r,l,t
19.978125,19,5.636118
13.481822,16,5.65925
15.624854,17,5.69128
19.130539,20,5.721026
106.385011,86,6.224991
12.23521,13,6.280362
7.100675,11,6.312049
7.025485,10,6.340055
150.138887,88,6.56474
15.051276,21,6.650891
11.470662,29,6.703956
9.335979,12,6.736438
10.752535,24,6.79403
10.358121,13,6.833772
10.401075,21,6.881685
16.24746,18,6.998606
14.427048,18,7.046805
24.305062,34,7.12523
20.108196,38,7.286684
10.839234,16,7.339341
9.937884,17,7.382006
7.183395,11,7.416667
10.389862,26,7.46506
19.253546,19,7.487846
10.081008,21,7.619831
21.719089,23,7.676381
56.89829,48,7.781733
15.013215,16,7.929832
13.749474,16,7.977239
22.186249,20,8.028353
12.29625,17,8.072945
30.906168,27,8.13568
9.552217,14,8.155508
14.104215,15,8.299907
18.401014,25,8.353757
5.553676,8,8.378434
14.024669,16,8.411346
27.692541,35,8.487588
12.282264,19,8.674757
7.047188,13,8.699973
14.202988,24,8.745463
84.059228,60,9.023787
12.021832,32,9.077111
6.552811,14,9.099619
8.084458,36,9.165647
30.262025,25,9.39362
25.315956,29,9.434302
18.308259,18,9.459706
12.5011,18,9.49746
13.810396,16,9.733806
11.161883,15,9.772695
11.674555,17,9.797989
53.253303,59,9.924837
12.248595,22,10.138948
7.464382,9,10.158082
21.83724,23,10.206954
24.573066,22,10.2652
12.930597,28,10.335941
25.779877,27,10.624435
18.731843,19,10.661771
11.979541,39,10.741406
18.262267,19,11.009654
14.860988,17,11.043091
7.136273,14,11.06358
14.653425,25,11.09371
19.513907,42,11.142827
59.753473,56,11.478103
10.6926,13,11.521993
7.15187,11,11.542747
23.871762,30,11.842869
8.001241,10,11.867568
11.550348,17,11.88874
16.505917,28,11.922467
12.69961,18,11.947818
11.566301,29,12.261811
7.258652,12,12.278889
14.2494,19,12.300694
8.000998,11,12.316482
33.167655,28,12.347967
14.00214,22,12.68305
7.049534,10,12.718467
12.723245,20,12.759836
6.085063,8,12.776439
10.673372,18,12.798313
14.648865,25,12.828731
7.056113,12,12.846613
8.122531,15,13.183004
6.834307,9,13.205548
15.964614,17,13.229686
19.513339,32,13.293183
10.485199,12,13.322056
10.530636,23,13.700481
11.075028,24,13.758539
8.017742,11,13.79422
7.624171,15,13.831469
26.957434,33,13.878154
16.688987,21,14.261044
8.491416,12,14.278103
11.664298,27,14.309204
16.520496,20,14.335536
17.290094,18,14.359416
11.12463,13,14.376897
6.926658,10,14.777154
12.65067,15,14.812703
7.397385,9,14.842268
9.309785,16,14.882435
11.141364,21,14.927733
19.167888,21,14.953626
6.93938,12,15.369807
6.368006,16,15.406492
10.860952,15,15.443515
13.130743,17,15.48436
36.189032,59,15.956525
11.561478,20,15.99723
8.984432,11,16.020212
15.285705,22,16.05802
16.848569,27,16.126627
10.294367,13,16.544991
15.760136,24,16.601586
11.35317,14,16.632901
35.54869,28,16.687173
8.502779,14,16.711341
