eval_eplenmean,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_abs_qs_difference,eval_qs,eval_qs_difference,fps,update_time,act_time,qs_difference,discount_q,mean 100 episode reward,ep_rewmean,eplenmean,train_time,env_time,episodes,current_lr,qs_mean,n_updates,time_elapsed,qs_abs_difference,qfs_loss,q_grad_norm
27.272727272727273,0,23.4,23.50451109090909,21.090779311549312,1,10.0202875,-0.39565918,-10.020287206433272,,,,,,,,,,,,,,,,,,
,,,,,72,,,,49,0,0,-8.549006728484253,10.352958897924744,17.1,17.053835,18.0,0,0,4,0.0003,0.67865396,0,1,8.549006728484253,,
,,,,,192,,,,93,0,0,-2.4360226397785865,2.2413181009321006,25.1,25.120215124999998,24.0,0,0,8,0.0003,0.7891239,0,2,2.491478419756929,,
,,,,,342,,,,139,0,0,-3.541444119019507,2.226833032544497,32.2,32.246543749999994,28.5,0,0,12,0.0003,0.72496027,0,2,3.5740102317471227,,
,,,,,418,,,,153,0,0,-7.280939015564185,8.351191891253885,27.2,27.16985725,26.125,0,0,16,0.0003,0.7073544,0,2,7.280939015564185,,
,,,,,524,,,,171,0,0,-3.450649799613951,4.163484387713333,25.2,25.2198628,26.2,0,1,20,0.0003,0.64365005,0,3,3.6059280895137102,,
,,,,,597,,,,186,0,0,-9.41011402083113,10.172521181166804,23.0,22.965080958333335,24.875,0,1,24,0.0003,0.7212225,0,3,9.41011402083113,,
,,,,,705,,,,193,0,0,-6.9139628022034625,5.5324911246756105,23.4,23.388340892857144,25.178571428571427,0,1,28,0.0003,0.6211666,0,3,6.9139628022034625,,
,,,,,785,,,,203,0,0,-14.827906620383672,15.85991470867705,22.9,22.9378651875,24.53125,0,1,32,0.0003,0.5774101,0,3,14.827906620383672,,
,,,,,847,,,,207,0,0,-1.9976384969949796,3.131430007522375,21.7,21.711744666666668,23.52777777777778,0,1,36,0.0003,0.7445673,0,4,2.0147067887664436,,
,,,,,930,,,,210,1,0,-1.7727146478979405,3.3605624540127583,21.1,21.06673675,23.25,0,1,40,0.0003,0.7186053,0,4,2.1198366256202186,,
,,,,,1060,,,,220,1,0,-1.469035291409345,1.9694207281982672,21.8,21.806962022727273,24.09090909090909,0,1,44,0.0003,0.6516195,0,4,1.8648426601644874,,
,,,,,1168,,,,225,1,0,-8.605223371311675,6.800805074851458,21.7,21.697438062499998,24.333333333333332,0,2,48,0.0003,0.68955374,0,5,8.605223371311675,,
,,,,,1234,,,,223,1,0,-4.592856403309498,6.65575768608785,21.0,20.97355694230769,23.73076923076923,0,2,52,0.0003,0.6561754,0,5,4.613341352258254,,
,,,,,1347,,,,227,1,0,-9.879188652360009,7.937231636747895,21.2,21.168365732142856,24.053571428571427,0,2,56,0.0003,0.6524194,0,5,9.879188652360009,,
,,,,,1443,,,,226,1,0,-8.81988259954939,7.892274970295076,21.1,21.124064399999998,24.05,0,2,60,0.0003,0.60799325,0,6,8.81988259954939,,
,,,,,1532,,,,226,2,0,-1.9934703388172479,3.2076567243095493,20.6,20.620045828125,23.9375,0,2,64,0.0003,0.77897125,0,6,2.069743968592562,,
,,,,,1668,,,,230,2,0,-4.593201661014334,2.934169041788008,20.9,20.945534382352943,24.529411764705884,0,2,68,0.0003,0.7360182,0,7,4.593201661014334,,
,,,,,1736,,,,228,2,0,-3.6056565773450266,6.543953786951022,20.5,20.484327208333337,24.11111111111111,0,2,72,0.0003,0.7120118,0,7,3.9029650980282913,,
,,,,,1823,,,,228,2,0,-2.254954418696356,3.279133546801944,20.0,20.03818472368421,23.986842105263158,0,2,76,0.0003,0.74630755,0,7,2.371984910031458,,
,,,,,1903,,,,226,3,0,-5.022451800945945,7.193556761599923,19.9,19.9040279,23.7875,0,3,80,0.0003,0.6387382,0,8,5.042525350659368,,
,,,,,1959,,,,230,3,0,-2.9636867828434736,6.904325337405345,19.4,19.391112452380952,23.321428571428573,0,3,84,0.0003,0.6980223,0,8,3.236193453916075,,
,,,,,2020,,,,226,3,0,-2.562291013662509,3.915321182867129,18.9,18.926309795454547,22.954545454545453,0,3,88,0.0003,0.74212253,0,8,2.562291013662509,,
,,,,,2104,,,,223,3,0,-2.44284807794557,5.3747498549143815,18.7,18.717489673913043,22.869565217391305,0,3,92,0.0003,0.63358974,0,9,3.0746853539243237,,
,,,,,2187,,,,227,3,0,-11.560581441250235,14.014084055351796,18.5,18.49670234375,22.78125,0,3,96,0.0003,0.63798386,0,9,11.560581441250235,,
,,,,,2267,,,,225,4,0,-6.733316515183321,8.314558333617667,18.3,18.290486220000002,22.67,0,3,100,0.0003,0.64926946,0,10,6.74394805159749,,
,,,,,2323,,,,220,4,0,-5.573615163682519,7.8216057938359596,18.1,18.08825334,22.51,0,3,104,0.0003,0.81764036,0,10,5.573615163682519,,
,,,,,2390,,,,224,4,0,-8.279855745986154,11.012449411776007,17.2,17.230953749999998,21.98,0,3,108,0.0003,0.56664115,0,10,8.288943510711144,,
,,,,,2450,,,,218,4,0,-5.02091830160664,7.968496015636774,15.7,15.743976519999999,21.08,0,3,112,0.0003,0.72809476,0,11,5.053422004922827,,
,,,,,2562,,,,217,5,0,-5.743776726328703,5.675787681217834,16.0,15.98659108,21.44,0,3,116,0.0003,0.6306311,0,11,5.812039792440572,,
,,,,,2640,,,,213,5,0,-4.629534386806873,5.627109647109017,15.8,15.8323581,21.16,0,4,120,0.0003,0.75683063,0,12,4.6575896139216155,,
,,,,,2715,,,,209,6,0,-6.119795757687538,9.06234983008385,16.1,16.06128884,21.18,0,4,124,0.0003,0.6074324,0,12,6.1740846295634295,,
,,,,,2800,,,,206,6,0,-4.462739936801927,5.155588949055558,15.5,15.510804389999999,20.95,0,4,128,0.0003,0.64939153,0,13,4.462739936801927,,
,,,,,2876,,,,209,6,0,-6.7538555347673475,7.444093207256602,15.3,15.298807400000001,20.91,0,4,132,0.0003,0.65874374,0,13,6.7538555347673475,,
,,,,,2945,,,,205,7,0,-8.014739451929056,8.820385238080819,15.3,15.335356920000002,20.98,0,4,136,0.0003,0.60283136,0,14,8.014739451929056,,
,,,,,3054,,,,204,7,0,-3.13975498334497,2.9072954712782555,15.7,15.677467820000002,21.24,0,4,140,0.0003,0.78309965,0,14,3.1451992041426062,,
,,,,,3170,,,,203,7,0,-10.418548425498045,8.681823715179167,15.3,15.266376470000003,21.1,0,4,144,0.0003,0.61666465,0,15,10.419898099100946,,
,,,,,3245,,,,199,8,0,-6.802964708608375,7.562955389216518,15.0,15.023433859999997,20.77,0,4,148,0.0003,0.7224445,0,16,6.802964708608375,,
,,,,,3327,,,,195,9,0,-8.958006457215491,9.489699146695097,15.1,15.097467299999998,20.93,0,4,152,0.0003,0.61806,0,16,8.958006457215491,,
,,,,,3429,,,,193,9,0,-7.1044092697487065,7.707801754699779,14.9,14.91748427,20.82,0,5,156,0.0003,0.6479356,0,17,7.1118920531502186,,
,,,,,3490,,,,195,9,0,-4.8824819051753465,6.531851089436187,14.7,14.668899560000002,20.47,0,5,160,0.0003,0.7506675,0,17,4.8924288869578385,,
,,,,,3549,,,,192,10,0,-3.695308648993513,5.008877715975448,14.5,14.494577059999997,20.17,0,5,164,0.0003,0.7261399,0,18,3.695308648993513,,
,,,,,3665,,,,190,10,0,-2.2363370406323595,4.2468574601126665,14.5,14.5072918,19.97,0,5,168,0.0003,0.6313388,0,19,2.3552869325962984,,
,,,,,3731,,,,186,11,0,-5.610109125847667,8.204959646045525,14.5,14.46650362,19.95,0,5,172,0.0003,0.56140393,0,20,5.610109125847667,,
,,,,,3831,,,,183,11,0,-7.371163814447396,9.448057743605137,14.8,14.772244639999998,20.08,0,5,176,0.0003,0.62320507,0,20,7.400497407970745,,
,,,,,3923,,,,181,12,0,-2.3953771783559232,6.634870686610778,14.7,14.700073160000002,20.2,0,5,180,0.0003,0.6477624,0,21,3.4437437203351267,,
,,,,,4003,,,,178,13,0,-9.138609713075237,12.899063163300099,14.9,14.885208650000003,20.44,0,5,184,0.0003,0.6113868,0,22,9.138609713075237,,
,,,,,4084,,,,180,13,0,-3.1541414250360127,4.650418053393895,15.1,15.05713792,20.64,0,5,188,0.0003,0.66708034,0,22,3.274778836958767,,
,,,,,4184,,,,178,13,0,-3.8893501977100877,5.063449654504655,15.5,15.509381030000002,20.8,0,6,192,0.0003,0.7389455,0,23,3.919066976820009,,
,,,,,4250,,,,174,14,0,-3.008924028375441,3.973674796461041,15.4,15.35834334,20.63,0,6,196,0.0003,0.6971009,0,24,3.008924028375441,,
,,,,,4334,,,,172,15,0,-1.3141381778999428,3.407674741315672,15.4,15.437506609999998,20.67,0,6,200,0.0003,0.6791726,0,25,2.043087365411091,,
,,,,,4412,,,,169,15,0,-1.3322826495734028,5.327961130902823,15.4,15.39162188,20.89,0,6,204,0.0003,0.65832555,0,25,2.6578153067978176,,
,,,,,4475,,,,171,15,0,-6.3384166371440225,7.805755172170512,15.4,15.43271059,20.85,0,6,208,0.0003,0.776439,0,26,6.3384166371440225,,
,,,,,4552,,,,169,16,0,-4.733296668479961,5.762145947225096,15.5,15.53151194,21.02,0,6,212,0.0003,0.7166332,0,26,4.733296668479961,,
,,,,,4660,,,,168,17,0,-2.989095962669005,6.176785625330742,15.8,15.787892529999999,20.98,0,6,216,0.0003,0.62954557,0,27,4.0916087842869855,,
,,,,,4742,,,,166,17,0,-5.8364283872002085,7.688531955504695,16.0,15.99443111,21.02,0,6,220,0.0003,0.66401315,0,28,5.850998525199299,,
,,,,,4808,,,,163,18,0,-3.720901775061232,6.299316451426964,15.7,15.720596300000002,20.93,0,6,224,0.0003,0.66544425,0,29,3.751139498095124,,
,,,,,4873,,,,164,18,0,-4.0906496133213315,5.136197331628848,15.6,15.594809050000002,20.73,0,6,228,0.0003,0.66373116,0,29,4.0906496133213315,,
,,,,,4944,,,,161,19,0,-2.300175990627466,8.081878728816735,15.5,15.469066910000004,20.68,0,7,232,0.0003,0.58893114,0,30,3.943232287474839,,
,,,,,5033,,,,159,20,0,-4.320380133773258,5.085903701287062,15.6,15.630428789999998,20.88,0,7,236,0.0003,0.75029606,0,31,4.330741009128782,,
,,,,,5166,,,,158,21,0,-38.30039697509727,32.72214915872006,16.1,16.08193344,21.12,0,7,240,0.0003,0.54044944,0,32,38.30039697509727,,
,,,,,5240,,,,155,21,0,-3.8040097863884315,4.990876693869761,15.8,15.75369382,20.7,0,7,244,0.0003,0.65518,0,33,3.8245223448964754,,
,,,,,5296,,,,157,21,0,-6.405577845456084,9.581387938664342,15.6,15.631889760000002,20.51,0,7,248,0.0003,0.6685301,0,33,6.405577845456084,,
,,,,,5392,,,,154,22,0,-5.575530533795107,5.285393579553007,15.9,15.917365730000002,20.65,0,7,252,0.0003,0.62430847,0,34,5.57584779037402,,
,,,,,5485,,,,152,23,0,-5.767383147692272,5.48131096067715,15.9,15.869780989999999,20.56,0,7,256,0.0003,0.73109853,0,35,5.767383147692272,,
,,,,,5582,,,,151,24,0,-4.161389127375061,4.065099611936967,16.1,16.063714870000002,20.92,0,7,260,0.0003,0.7410345,0,36,4.174130821850733,,
,,,,,5677,,,,149,25,0,-1.3926096476125038,3.735568903706746,16.6,16.60420387,21.28,0,8,264,0.0003,0.65664387,0,38,2.1989419423378744,,
,,,,,5803,,,,144,27,0,-12.615343073713953,9.731379953632535,16.6,16.602519169999997,21.38,0,8,268,0.0003,0.5865139,0,40,12.615343073713953,,
,,,,,5857,,,,145,27,0,-1.8277604485453973,3.234896891584585,16.5,16.529349,21.26,0,8,272,0.0003,0.8077996,0,40,1.8469829543893033,,
,,,,,5974,,,,144,28,0,-7.585256428264752,7.741774680238627,16.6,16.552022949999998,21.43,0,8,276,0.0003,0.6074436,0,41,7.588023611434015,,
,,,,,6056,,,,142,29,0,1.5369434145394192,4.911906983434381,16.3,16.339856859999998,21.33,0,8,280,0.0003,0.6347328,0,42,3.6003057432151713,,
,,,,,6169,,,,141,30,0,-7.861289122783773,6.614620936773187,16.8,16.80015936,21.66,0,8,284,0.0003,0.6521612,0,43,7.865780164572839,,
,,,,,6279,,,,140,31,0,-4.469400863476316,5.28249013683125,17.6,17.582785939999997,21.95,0,8,288,0.0003,0.67126524,0,44,4.486472355646785,,
,,,,,6378,,,,138,32,0,-8.934074020340196,7.79332013052935,17.5,17.530604020000002,21.94,0,8,292,0.0003,0.6398501,0,45,8.934074020340196,,
,,,,,6489,,,,137,33,0,-15.202130741323812,11.770639065104795,18.3,18.308387070000002,22.39,0,9,296,0.0003,0.5811826,0,47,15.202130741323812,,
,,,,,6582,,,,135,34,0,-4.4131874082218445,5.978945924256933,18.3,18.32850647,22.48,0,9,300,0.0003,0.58396935,0,48,4.4131874082218445,,
,,,,,6659,,,,134,35,0,-3.312965121129094,6.1902001312404735,18.5,18.48200976,22.47,0,9,304,0.0003,0.7055761,0,49,3.5846920099629465,,
,,,,,6759,,,,132,36,0,-6.11870958513139,6.768391921803214,18.7,18.6790568,22.84,0,9,308,0.0003,0.67289484,0,50,6.170463406171166,,
,,,,,6845,,,,131,37,0,-3.2556236795500695,4.27542261021499,19.0,18.98268963,22.93,0,9,312,0.0003,0.683386,0,52,3.2774248481775814,,
,,,,,6974,,,,130,38,0,-5.419266913059119,4.316921879870958,19.1,19.05954031,23.14,0,9,316,0.0003,0.5949375,0,53,5.451509198181056,,
,,,,,7048,,,,128,39,0,-5.144294590037086,6.853320677966948,18.9,18.949403280000002,23.06,0,9,320,0.0003,0.65794325,0,54,5.1768442916638175,,
,,,,,7158,,,,127,40,0,-7.5676926033301966,5.990773738004428,19.4,19.431960160000003,23.5,0,10,324,0.0003,0.60975283,0,56,7.5676926033301966,,
,,,,,7225,,,,126,41,0,-2.3825769235927323,4.936317951066563,19.6,19.627337580000003,23.52,0,10,328,0.0003,0.7397484,0,57,2.487110291782869,,
,,,,,7354,,,,125,43,0,-10.576897253032516,6.127443321738612,20.2,20.22592566,24.1,0,10,332,0.0003,0.58983624,0,58,10.576897253032516,,
,,,,,7412,,,,123,44,0,-4.652605553816423,6.664303611210176,20.0,19.9643776,23.79,0,10,336,0.0003,0.7211463,0,60,4.652605553816423,,
,,,,,7486,,,,124,44,0,-5.315322393292759,7.3494717392411735,19.0,19.01181424,23.2,0,10,340,0.0003,0.59512794,0,60,5.342518691015896,,
,,,,,7603,,,,121,46,0,-7.315732578155364,5.1442326212893255,20.5,20.478768759999998,23.63,0,10,344,0.0003,0.5535345,0,62,7.315732578155364,,
,,,,,7671,,,,122,46,0,-0.22987605716483064,5.4258990933214335,20.5,20.458601339999994,23.75,0,10,348,0.0003,0.5779533,0,62,3.040896832723751,,
,,,,,7741,,,,120,47,0,-2.5640943086020718,3.777807802916955,19.9,19.93858507,23.49,0,10,352,0.0003,0.7087805,0,64,2.613768496078989,,
,,,,,7815,,,,119,49,0,-10.995172453556691,15.125335051549769,19.8,19.82829209,23.3,0,10,356,0.0003,0.6314837,0,65,11.010643529040616,,
,,,,,7904,,,,117,50,0,-10.906043070469837,10.333409453823696,19.6,19.64011869,23.22,0,11,360,0.0003,0.5991267,0,67,10.906043070469837,,
,,,,,7987,,,,118,50,0,-6.301665026757021,6.323872495871175,19.6,19.56531244,23.1,0,11,364,0.0003,0.6085659,0,67,6.301665026757021,,
,,,,,8072,,,,117,51,0,-4.918679141472262,5.722064995713436,19.0,19.019630850000002,22.69,0,11,368,0.0003,0.53271616,0,68,4.934396884627584,,
,,,,,8155,,,,116,52,1,-6.303369490354722,6.964424447271505,19.3,19.314606100000002,22.98,0,11,372,0.0003,0.63617456,0,70,6.323824406170243,,
,,,,,8247,,,,115,54,1,-8.05605600549045,8.309170207074624,19.4,19.409377520000003,22.73,0,11,376,0.0003,0.5771311,0,71,8.05605600549045,,
,,,,,8330,,,,113,55,1,-4.01507029534316,4.583416198116719,19.7,19.68944022,22.74,0,11,380,0.0003,0.7966608,0,73,4.01507029534316,,
,,,,,8388,,,,114,55,1,-2.6281870303568056,4.667789748325588,19.1,19.14598164,22.19,0,11,384,0.0003,0.77062887,0,73,2.697008813645171,,
,,,,,8489,,,,113,56,1,-2.1409740420747254,3.3595662287715022,18.5,18.48115903,22.1,0,11,388,0.0003,0.6348278,0,74,2.4929584306230104,,
,,,,,8569,,,,112,58,1,-4.455591736122142,4.891830485480853,18.0,17.98116363,21.91,0,12,392,0.0003,0.65170676,0,76,4.455591736122142,,
,,,,,8630,,,,110,59,1,-3.3075039220605307,4.884570563781926,17.2,17.236900040000002,21.41,0,12,396,0.0003,0.72223103,0,77,3.3313276230848925,,
,,,,,8735,,,,109,61,1,-34.960740467574155,28.822095020978995,17.9,17.86011509,21.53,0,12,400,0.0003,0.48281738,0,79,34.960740467574155,,
,,,,,8821,,,,108,62,1,-1.0345582427312334,5.702761229152887,17.9,17.87027313,21.62,0,12,404,0.0003,0.61142975,0,81,2.877989935767355,,
,,,,,8903,,,,107,64,1,-9.997980906576796,10.141857471506498,17.7,17.68480616,21.44,0,12,408,0.0003,0.7012302,0,82,9.997980906576796,,
,,,,,8992,,,,108,64,1,-14.038803846396863,17.43367675649796,17.7,17.74709671,21.47,0,12,412,0.0003,0.5788619,0,83,14.038803846396863,,
,,,,,9120,,,,105,67,1,-26.315755528910802,23.244167761487486,17.8,17.773583490000004,21.46,0,12,416,0.0003,0.60041887,0,86,26.315755528910802,,
,,,,,9205,,,,104,68,1,-3.957988224959165,5.802649336879151,17.6,17.621449960000003,21.57,0,13,420,0.0003,0.6580399,0,88,4.159067904459706,,
,,,,,9289,,,,105,68,1,-5.208776674450282,5.832084167973768,17.3,17.30372082,21.31,0,13,424,0.0003,0.5764781,0,88,5.235466318351383,,
,,,,,9419,,,,102,71,1,-32.66456827170576,22.865545082702855,18.1,18.07848479,21.94,0,13,428,0.0003,0.50445706,0,91,32.66456827170576,,
,,,,,9497,,,,103,71,1,-0.39611775848256187,6.022443779333706,17.5,17.54204559,21.43,0,13,432,0.0003,0.62265617,0,91,2.756058726759126,,
