eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_eplenmean,mean 100 episode reward,update_time,discount_q,fps,train_time,qs_mean,time_elapsed,current_lr,episodes,act_time,eplenmean,qs_abs_difference,qs_difference,ep_rewmean,env_time,n_updates,q_grad_norm,qfs_loss
3.9016539565057586,2.794242,4.0,3.985384818181819,-1.1445915,-2.794241848120194,1,0,7.454545454545454,,,,,,,,,,,,,,,,,,
,,,,,,97,,,16.5,0,4.629725748360078,102,0,-0.40539163,0,0.0003,4,0,24.25,3.6304878696721747,-3.6304878696721747,16.54887775,0,0,,
,,,,,,187,,,14.0,0,4.915687586116797,132,0,-0.74884766,1,0.0003,8,0,23.375,6.128515469009959,-6.128515469009959,13.976007124999999,0,0,,
,,,,,,299,,,17.7,0,1.6658478495639262,180,0,-0.21636021,1,0.0003,12,0,24.916666666666668,1.5473269803149459,-0.8270682272075244,17.699249666666663,0,0,,
,,,,,,392,,,17.9,0,11.849373908328577,204,0,-0.6225972,1,0.0003,16,0,24.5,14.302948194103193,-14.302948194103193,17.88515175,0,0,,
,,,,,,487,,,17.1,0,7.271073874062023,225,0,-0.5218938,2,0.0003,20,0,24.35,8.026735826164549,-8.026735826164549,17.0557693,0,0,,
,,,,,,569,,,16.3,0,7.377444058696326,235,0,-0.5914198,2,0.0003,24,0,23.708333333333332,7.032950395673025,-7.032950395673025,16.285841208333334,1,0,,
,,,,,,666,,,16.2,0,3.6574050979667163,246,0,-0.4179953,2,0.0003,28,0,23.785714285714285,2.480823317160006,-2.46581180978208,16.215009142857145,1,0,,
,,,,,,743,,,15.8,0,12.151439878221643,254,0,-0.5274129,2,0.0003,32,0,23.21875,11.791645448461727,-11.791645448461727,15.8094333125,1,0,,
,,,,,,816,,,15.6,0,3.7665527542865216,254,0,-0.45669273,3,0.0003,36,0,22.666666666666668,2.4535539638785244,-2.0002643836644114,15.56616522222222,1,0,,
,,,,,,897,,,15.2,0,6.84482186445685,264,0,-0.55426246,3,0.0003,40,0,22.425,6.346719674483811,-6.346719674483811,15.202567225000001,1,0,,
,,,,,,968,,,15.3,0,8.325615283350084,260,0,-0.65994966,3,0.0003,44,0,22.0,8.191710799863353,-8.191710799863353,15.302316045454546,1,0,,
,,,,,,1078,,,15.2,1,5.453881425989353,263,0,-0.55404216,4,0.0003,48,0,22.458333333333332,5.911060280353826,-5.911060280353826,15.217228604166666,1,0,,
,,,,,,1161,,,15.1,1,6.785544034958577,262,0,-0.5004859,4,0.0003,52,0,22.326923076923077,3.356248561650338,-3.356248561650338,15.101025076923076,1,0,,
,,,,,,1269,,,15.2,1,13.499954025308364,261,0,-0.52596223,4,0.0003,56,0,22.660714285714285,12.629926876015409,-12.629926876015409,15.231066571428572,2,0,,
,,,,,,1340,,,15.1,1,6.620046836251343,256,0,-0.48045218,5,0.0003,60,0,22.333333333333332,4.845694977792914,-4.845694977792914,15.106001566666666,2,0,,
,,,,,,1440,,,15.6,1,6.136755862377454,254,0,-0.60617554,5,0.0003,64,0,22.5,7.0626416902444955,-7.0626416902444955,15.600684015625001,2,0,,
,,,,,,1571,,,16.6,2,2.551398718126135,253,0,-0.8119919,6,0.0003,68,0,23.102941176470587,5.28815079338893,-5.28815079338893,16.593997985294124,2,0,,
,,,,,,1642,,,16.5,2,4.800262879367797,249,0,-0.80212325,6,0.0003,72,0,22.805555555555557,5.596067853446746,-5.596067853446746,16.486923569444443,2,0,,
,,,,,,1740,,,16.7,2,4.10331808782698,247,0,-0.5739442,7,0.0003,76,0,22.894736842105264,3.6403525377738415,-3.6403525377738415,16.666892986842107,2,0,,
,,,,,,1829,,,16.7,2,3.4277969656749696,242,0,-0.7489146,7,0.0003,80,0,22.8625,4.776723758951941,-4.776723758951941,16.744894162499996,2,0,,
,,,,,,1933,,,17.3,3,8.757368084142492,241,0,-0.646459,8,0.0003,84,0,23.011904761904763,9.637754169180848,-9.637754169180848,17.26231277380952,3,0,,
,,,,,,2039,,,17.5,3,5.169445672058361,239,0,-0.5864463,8,0.0003,88,0,23.170454545454547,6.165156122360365,-6.165156122360365,17.524483761363637,3,0,,
,,,,,,2119,,,17.3,3,5.06437056685358,234,0,-0.8757317,9,0.0003,92,0,23.032608695652176,5.98837456516272,-5.98837456516272,17.31487048913043,3,0,,
,,,,,,2242,,,17.8,4,10.502427321953032,233,0,-0.5204112,9,0.0003,96,0,23.354166666666668,11.180294870439042,-11.180294870439042,17.789851875,3,0,,
,,,,,,2326,,,17.8,4,18.489295657195086,228,0,-0.5193583,10,0.0003,100,0,23.26,15.514596490133181,-15.514596490133181,17.75003083,3,0,,
,,,,,,2389,,,17.5,4,4.743745382208875,231,0,-0.4401888,10,0.0003,104,0,22.92,4.31699096334383,-4.31699096334383,17.46874529,3,0,,
,,,,,,2502,,,17.9,5,14.923994156652245,220,0,-0.5779292,11,0.0003,108,0,23.15,16.64156995126057,-16.64156995126057,17.86045879,3,0,,
,,,,,,2639,,,18.6,5,6.731519986191202,219,0,-0.84597206,12,0.0003,112,0,23.4,13.69422285416514,-13.69422285416514,18.64697176,4,0,,
,,,,,,2723,,,18.5,6,7.3463108712146905,215,0,-0.646826,12,0.0003,116,0,23.31,7.705779562218623,-7.705779562218623,18.51434035,4,0,,
,,,,,,2841,,,19.1,6,9.142389678793542,212,0,-0.40571314,13,0.0003,120,0,23.54,12.105663548396265,-12.105663548396265,19.07087888,4,0,,
,,,,,,2952,,,19.7,7,21.15016486389884,209,0,-0.76569784,14,0.0003,124,0,23.83,24.352257431260146,-24.352257431260146,19.65196497,4,0,,
,,,,,,3048,,,19.7,7,6.0130443891108065,206,0,-0.51587915,14,0.0003,128,0,23.82,2.0988492922009048,-2.014795113041312,19.66599977,4,0,,
,,,,,,3142,,,19.8,7,7.584007298301054,203,0,-0.36507326,15,0.0003,132,0,23.99,4.405532711551746,-3.6602985528572978,19.76356039,5,0,,
,,,,,,3215,,,19.7,8,9.317311620198817,199,0,-0.6243866,16,0.0003,136,0,23.99,7.978956126977946,-7.978956126977946,19.716070570000003,5,0,,
,,,,,,3271,,,19.7,8,8.32396273731126,202,0,-0.72895575,16,0.0003,140,0,23.74,7.150553510392479,-7.150553510392479,19.679824420000003,5,0,,
,,,,,,3358,,,19.8,8,3.5848443992973347,199,0,-0.8848623,16,0.0003,144,0,23.9,4.930729887471665,-4.930729887471665,19.754603380000002,5,0,,
,,,,,,3422,,,19.6,9,3.522687699398175,195,0,-0.14721848,17,0.0003,148,0,23.44,1.8296330009636603,-1.553459514401932,19.61393058,5,0,,
,,,,,,3507,,,19.7,10,7.703579787752762,192,0,-0.56517214,18,0.0003,152,0,23.46,7.108685090355891,-7.108685090355891,19.68533587,5,0,,
,,,,,,3586,,,19.5,10,5.708560213717992,194,0,-0.4080957,18,0.0003,156,0,23.17,2.6047346722215665,-2.6047346722215665,19.473551949999997,5,0,,
