eval_time_elapsed,eval_eplenmean,eval_qs,eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_discount_q,eval_abs_qs_difference,eval_ep_rewmean,episodes,discount_q,qs_difference,fps,ep_rewmean,update_time,eplenmean,time_elapsed,act_time,n_updates,train_time,env_time,qs_abs_difference,qs_mean,mean 100 episode reward,current_lr,q_grad_norm,qfs_loss
0,11.0,-1.7786884,0.6,-0.06550412564289565,1,0.8574584206517006,0.6570774,0.6604333636363637,,,,,,,,,,,,,,,,,,
,,,,,102,,,,4,7.088585013345793,-7.086720801260462,67,19.89843775,0,25.5,1,0,0,0,0,7.086720801260462,-0.33948937,19.9,0.0003,,
,,,,,193,,,,8,5.9138662350170925,-1.5856623073342209,113,16.737241375,0,24.125,1,0,0,0,0,3.267265940636828,-0.19599035,16.7,0.0003,,
,,,,,282,,,,12,19.716971693106583,-17.521585180231593,149,17.11314225,0,23.5,1,0,0,0,0,17.521585180231593,-0.08957527,17.1,0.0003,,
,,,,,402,,,,16,1.7034534486717807,-2.3971398367957244,184,22.40689475,0,25.125,2,0,0,0,0,2.3971398367957244,-0.22117904,22.4,0.0003,,
,,,,,472,,,,20,8.977817446880746,-7.934148756798832,205,20.8639669,0,23.6,2,0,0,0,0,7.934148756798832,0.027118333,20.9,0.0003,,
,,,,,533,,,,24,4.544904173457788,-3.055784810728572,215,19.33155495833333,0,22.208333333333332,2,0,0,0,1,3.160828749135968,-0.06632346,19.3,0.0003,,
,,,,,665,,,,28,2.811957867251814,-4.331090377635304,239,19.852546607142852,0,23.75,2,0,0,0,1,4.331090377635304,0.13351348,19.9,0.0003,,
,,,,,789,,,,32,3.778278722044129,-5.906021902834789,252,20.0953555,0,24.65625,3,0,0,0,1,5.906021902834789,-0.2239483,20.1,0.0003,,
,,,,,847,,,,36,9.105753879735566,-4.26216454017361,255,18.87413488888889,0,23.52777777777778,3,0,0,0,1,4.484021888701201,-0.15032373,18.9,0.0003,,
,,,,,931,,,,40,3.6291625674715284,-3.682359762030738,260,18.469907175,0,23.275,3,0,0,0,1,3.682359762030738,0.16867211,18.5,0.0003,,
