eval_qs,eval_time_elapsed,eval mean 100 episode reward,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval_qs_difference,eval_ep_rewmean,eval_discount_q,env_time,qs_mean,update_time,ep_rewmean,mean 100 episode reward,n_updates,fps,discount_q,eplenmean,qs_difference,current_lr,time_elapsed,act_time,qs_abs_difference,episodes,train_time,q_grad_norm,qfs_loss
-0.89583,0,3.9,1,7.0,2.427679,-2.4276791571737104,3.896265727272727,3.8273093615102685,,,,,,,,,,,,,,,,,,
,,,88,,,,,,0,0.0867242,0,16.76657475,16.8,0,87,8.264619816818062,22.0,-5.624638464349739,0.0003,0,0,5.632809187601587,4,0,,
,,,182,,,,,,0,0.09828581,0,17.129685000000002,17.1,0,118,10.699468002923753,22.75,-11.242142335090053,0.0003,1,0,11.242142335090053,8,0,,
,,,249,,,,,,0,0.044418525,0,15.154559333333333,15.2,0,144,5.232580711629054,20.75,-3.6530822107145577,0.0003,1,0,3.654231825607567,12,0,,
,,,316,,,,,,0,0.16753028,0,14.5299721875,14.5,0,165,5.021914753175161,19.75,-4.394575280414593,0.0003,1,0,4.394575280414593,16,0,,
,,,442,,,,,,0,0.07104709,0,15.587019299999998,15.6,0,194,4.351180363516303,22.1,-2.0052325261961323,0.0003,2,0,3.6453788519259094,20,0,,
,,,523,,,,,,1,0.00089472905,0,15.031724375000001,15.0,0,210,6.606716614423078,21.791666666666668,-1.6879129599161766,0.0003,2,0,3.271623005234437,24,0,,
,,,701,,,,,,1,0.07089149,0,19.845045142857142,19.8,0,226,2.345478165277992,25.035714285714285,-3.783712713435466,0.0003,3,0,3.8987285027308816,28,0,,
,,,764,,,,,,1,0.0976887,0,18.6525430625,18.7,0,239,9.047223436272404,23.875,-7.236884416210652,0.0003,3,0,7.236884416210652,32,0,,
,,,827,,,,,,1,0.019629575,0,17.711644083333333,17.7,0,239,5.865187016259193,22.97222222222222,-3.8602610280270166,0.0003,3,0,3.8602610280270166,36,0,,
,,,965,,,,,,1,0.18475458,1,18.975712425,19.0,0,246,17.466267688477767,24.125,-28.067299819399494,0.0003,3,0,28.067299819399494,40,0,,
,,,1043,,,,,,1,0.13039884,1,18.470992522727272,18.5,0,244,9.018701304693895,23.704545454545453,-7.837178780855901,0.0003,4,0,7.837178780855901,44,0,,
,,,1106,,,,,,2,0.076840855,1,17.622764354166666,17.6,0,241,6.205127515202556,23.041666666666668,-1.775838201119645,0.0003,4,0,2.3221871345647935,48,0,,
,,,1172,,,,,,2,-0.04072054,1,17.370658230769234,17.4,0,249,4.525877622791332,22.53846153846154,-3.8474804517569265,0.0003,4,0,3.8474804517569265,52,0,,
,,,1244,,,,,,2,0.045898985,1,17.019696232142856,17.0,0,244,5.859781464228613,22.214285714285715,-3.283509647423288,0.0003,5,0,3.437918838645992,56,0,,
,,,1347,,,,,,2,-0.069170944,1,17.831458899999998,17.8,0,246,2.7516222282988503,22.45,-0.7133262882587297,0.0003,5,0,1.8782093070648567,60,0,,
,,,1419,,,,,,2,0.09106394,1,17.65273203125,17.7,0,245,10.084139944835083,22.171875,-6.505181520985906,0.0003,5,0,6.505181520985906,64,0,,
,,,1481,,,,,,2,0.00010052594,1,17.15736533823529,17.2,0,250,4.385347207598505,21.779411764705884,-3.271784503431756,0.0003,5,0,3.271784503431756,68,0,,
,,,1562,,,,,,2,0.07519671,2,16.993843069444445,17.0,0,244,12.357796637306551,21.694444444444443,-10.146472522309699,0.0003,6,0,10.146472522309699,72,0,,
,,,1629,,,,,,2,0.076223195,2,16.856564697368423,16.9,0,238,15.655408176007686,21.43421052631579,-11.806703037207582,0.0003,6,0,11.806703037207582,76,0,,
,,,1720,,,,,,2,0.19923683,2,17.1540424875,17.2,0,235,16.585814831900215,21.5,-17.829337858210174,0.0003,7,0,17.829337858210174,80,0,,
,,,1808,,,,,,3,0.103977054,3,17.040046428571433,17.0,0,231,7.124444342295179,21.523809523809526,-4.135809173897153,0.0003,7,0,4.207479875078623,84,0,,
,,,1884,,,,,,3,0.14627188,3,17.087968500000002,17.1,0,235,9.72410371251827,21.40909090909091,-9.237003154618314,0.0003,8,0,9.237003154618314,88,0,,
,,,1950,,,,,,3,0.10070961,3,16.918566913043477,16.9,0,230,9.758758529757163,21.195652173913043,-8.659420756957667,0.0003,8,0,8.659420756957667,92,0,,
,,,2038,,,,,,3,0.09473382,3,16.8999958125,16.9,0,228,7.764760119997415,21.229166666666668,-8.466693310726708,0.0003,8,0,8.466693310726708,96,0,,
,,,2126,,,,,,3,0.08298976,4,16.987224379999997,17.0,0,226,16.65769870080656,21.26,-16.289857663116248,0.0003,9,0,16.289857663116248,100,0,,
,,,2200,,,,,,3,-0.066394195,4,17.03385374,17.0,0,221,4.957519314510604,21.12,-4.198394914015515,0.0003,9,0,4.198394914015515,104,0,,
,,,2294,,,,,,3,0.030741462,4,16.866023929999997,16.9,0,226,7.287318783166856,21.12,-5.893436009030499,0.0003,10,0,5.90067531415917,108,0,,
,,,2385,,,,,,3,0.06829692,4,16.95501663,17.0,0,221,4.47241381415057,21.36,-2.326752847236922,0.0003,10,0,2.69763852668893,112,0,,
,,,2466,,,,,,3,0.13492504,5,17.007290550000004,17.0,0,218,7.920524221987832,21.5,-5.537158470459833,0.0003,11,0,5.537158470459833,116,0,,
,,,2529,,,,,,4,0.19103524,5,16.75691052,16.8,0,213,7.792267936825463,20.87,-6.827701578183754,0.0003,11,0,6.827701578183754,120,0,,
,,,2616,,,,,,4,0.058286108,6,17.01818724,17.0,0,210,8.444225700612437,20.93,-8.356750515273612,0.0003,12,0,8.356750515273612,124,0,,
,,,2688,,,,,,4,-0.026515057,6,15.461460030000001,15.5,0,213,5.411225806158812,19.87,-4.37969949325526,0.0003,12,0,4.37969949325526,128,0,,
,,,2775,,,,,,4,0.045684583,6,15.7842246,15.8,0,209,17.600111424025133,20.11,-16.281189359949696,0.0003,13,0,16.281189359949696,132,0,,
,,,2874,,,,,,4,-0.028656874,6,16.07810934,16.1,0,206,2.465839037060671,20.47,-3.0095434686334177,0.0003,13,0,3.0095434686334177,136,0,,
,,,2977,,,,,,4,0.070098795,7,15.750484179999999,15.8,0,202,4.512502901137815,20.12,-2.096047544069717,0.0003,14,0,2.54363080189666,140,0,,
,,,3104,,,,,,4,0.08510318,8,16.502240410000002,16.5,0,193,27.75671587468424,20.61,-35.55401235183977,0.0003,16,0,35.55401235183977,144,0,,
,,,3203,,,,,,5,-0.003097729,9,16.994110490000004,17.0,0,190,4.0012913143868785,20.97,-4.522775232254738,0.0003,16,0,4.522775232254738,148,0,,
,,,3277,,,,,,5,0.09618879,9,17.100416980000002,17.1,0,192,14.603314346175782,21.05,-14.240533114223835,0.0003,17,0,14.240533114223835,152,0,,
