eval mean 100 episode reward,eval_time_elapsed,eval_discount_q,eval_ep_rewmean,eval_qs,eval_qs_difference,eval_eplenmean,total timesteps,eval_abs_qs_difference,n_updates,discount_q,qs_abs_difference,time_elapsed,train_time,update_time,eplenmean,qs_mean,qs_difference,ep_rewmean,fps,mean 100 episode reward,env_time,current_lr,act_time,episodes
4.9,0,4.792798197859075,4.9286651818181815,-1.04297,-3.3404071463561964,8.0,1,3.340407,,,,,,,,,,,,,,,,
,,,,,,,74,,0,6.418978975111461,5.42373586266748,0,0,0,18.5,-0.3848826,-5.42373586266748,11.985685,78,12.0,0,0.0003,0,4
,,,,,,,140,,0,8.488748845408365,6.399828359989188,1,0,0,17.5,-0.36110753,-6.399828359989188,13.495102125,99,13.5,0,0.0003,0,8
,,,,,,,235,,0,4.057554060684228,5.0616409733564085,1,0,0,19.583333333333332,-0.27423665,-5.0616409733564085,16.84254575,143,16.8,0,0.0003,0,12
,,,,,,,311,,0,9.43268305907963,9.572238136602499,1,0,0,19.4375,-0.52026737,-9.572238136602499,17.166680937499997,164,17.2,0,0.0003,0,16
,,,,,,,383,,0,6.336094059504854,5.6148908470286125,2,0,0,19.15,-0.3790978,-5.6148908470286125,15.988156899999998,183,16.0,0,0.0003,0,20
,,,,,,,485,,0,7.391183293195865,10.319847470025579,2,0,0,20.208333333333332,-0.68808156,-10.319847470025579,16.13282454166667,203,16.1,1,0.0003,0,24
,,,,,,,547,,0,7.324663310319957,4.9053500173172075,2,0,0,19.535714285714285,-0.4453959,-4.9053500173172075,15.552831142857144,208,15.6,1,0.0003,0,28
,,,,,,,630,,0,18.51574960772463,20.98451847046559,2,0,0,19.6875,-0.8172516,-20.98451847046559,15.722814999999997,216,15.7,1,0.0003,0,32
,,,,,,,702,,0,8.337060608498833,8.660751562117511,3,0,0,19.5,-0.7644925,-8.660751562117511,15.679158777777774,221,15.7,1,0.0003,0,36
,,,,,,,768,,0,8.601120027327823,8.731955626231239,3,0,0,19.2,-0.6351421,-8.731955626231239,15.314369099999999,233,15.3,1,0.0003,0,40
,,,,,,,859,,0,11.420512418337227,10.978725254080398,3,0,0,19.522727272727273,-0.532496,-10.978725254080398,15.546133795454544,237,15.5,1,0.0003,0,44
,,,,,,,928,,0,10.048250958081645,9.630694900510047,3,0,1,19.333333333333332,-0.91890466,-9.630694900510047,15.614141062500002,238,15.6,1,0.0003,0,48
,,,,,,,1015,,0,5.430299667792316,4.341052798058204,4,0,1,19.51923076923077,-0.72594327,-4.341052798058204,15.298666826923078,238,15.3,1,0.0003,0,52
,,,,,,,1110,,0,12.996593695044027,15.963099675321196,4,0,1,19.821428571428573,-0.696199,-15.963099675321196,16.034918946428572,236,16.0,1,0.0003,0,56
,,,,,,,1223,,0,3.9090605155120435,5.505633828911899,5,0,1,20.383333333333333,-0.260863,-5.505633828911899,17.492318049999998,237,17.5,2,0.0003,0,60
,,,,,,,1327,,0,24.562710456608787,32.000719887118,5,0,1,20.734375,-0.8969805,-32.000719887118,18.245869984375,235,18.2,2,0.0003,0,64
,,,,,,,1433,,0,4.205710261285275,2.7758974152590725,6,0,2,21.073529411764707,-0.590343,-2.7758974152590725,18.30450526470588,232,18.3,2,0.0003,0,68
,,,,,,,1490,,0,7.159334773322842,5.807932246719426,6,0,2,20.694444444444443,-0.37437433,-5.807932246719426,17.813857722222224,238,17.8,2,0.0003,0,72
,,,,,,,1599,,0,4.706578708837136,6.133820381505155,6,0,2,21.039473684210527,-0.39103475,-6.133820381505155,18.356427092105264,238,18.4,2,0.0003,0,76
,,,,,,,1671,,0,11.799577035454764,10.150631301873647,7,0,2,20.8875,-0.4167471,-10.150631301873647,18.1414335625,235,18.1,2,0.0003,0,80
,,,,,,,1767,,0,5.96120166235312,6.733796491676369,7,0,2,21.035714285714285,-0.6758159,-6.733796491676369,17.86716177380952,232,17.9,3,0.0003,0,84
