eval_qs_difference,eval mean 100 episode reward,eval_time_elapsed,eval_ep_rewmean,eval_abs_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_qs,qs_mean,qs_difference,current_lr,env_time,act_time,fps,eplenmean,ep_rewmean,qs_abs_difference,mean 100 episode reward,update_time,time_elapsed,n_updates,episodes,discount_q,train_time,q_grad_norm,qfs_loss
-0.30163318167453335,-8.9,23,-8.849299181818182,3.5539825,1,1000.0,-1.4819274079364513,-1.0398523,,,,,,,,,,,,,,,,,,
,,,,,4000,,,,-0.32351965,-1.3946293914538759,0.0003,5,0,114,1000.0,6.466518499999999,3.8434244709671277,6.5,3,34,0,4,-1.340628438266311e-13,0,,
,,,,,8000,,,,-0.2756263,-1.7784379172195468,0.0003,11,1,150,1000.0,2.772354,3.4031144407876712,2.8,13,53,0,8,-4.93743987082272e-14,0,,
-0.18736873215378064,-8.9,23,-10.000326999999999,3.4892342,10001,1000.0,-1.4878724576547022,-1.0401021,,,,,,,,,,,,,,,,,,
,,,,,12000,,,,-0.30447343,-1.3643342948017616,0.0003,17,2,117,1000.0,3.7789,4.081127978787223,3.8,31,101,0,12,4.380507431216864e-13,0,,
,,,,,16000,,,,-0.25838977,-0.47536743493873584,0.0003,23,2,119,1000.0,4.2866621875,3.3186668310890117,4.3,56,134,0,16,-3.316410994624464e-14,0,,
,,,,,20000,,,,-0.3061208,-0.7432911275316271,0.0003,29,3,115,1000.0,3.74738185,3.0426295609122254,3.7,87,173,0,20,-1.7091217905928654e-13,0,,
-0.13899789930101056,-9.8,23,-10.492188,3.4787009,20001,1000.0,-1.4818271744462308,-1.0415158,,,,,,,,,,,,,,,,,,
,,,,,24000,,,,-0.29820734,1.2897732716364887,0.0003,34,4,97,1000.0,2.249888541666667,3.5642177103009853,2.2,128,245,0,24,-1.8095143405708744e-13,0,,
,,,,,28000,,,,26.428825,25.606253888723636,0.0003,40,6,73,1000.0,5.932204857142858,25.606253888723636,5.9,182,380,6200,28,1.877060078553675e-12,70,3.3879318,0.25993747
27.2317469264608,-1.9,23,24.168980363636365,27.231745,30001,1000.0,17.189226291789343,27.94691,,,,,,,,,,,,,,,,,,
,,,,,32000,,,,24.858162,25.074908511315122,0.0003,46,10,56,1000.0,8.059508031250001,25.074908511315122,8.1,245,567,14200,32,1.396750607720616e-12,159,2.2734742,0.03125686
,,,,,36000,,,,23.297699,21.05695672933638,0.0003,52,13,48,1000.0,11.625586,21.05695672933638,11.6,316,737,22200,36,2.0726154242137255e-12,248,2.5047262,0.026747867
,,,,,40000,,,,26.298542,24.14476744372513,0.0003,58,17,43,1000.0,14.432636225000001,24.14476744372513,14.4,394,913,30200,40,2.014732515465829e-12,335,1.9451894,0.021690838
18.11278047754546,6.4,21,40.50426145454546,18.11278,40001,1000.0,25.06607269660117,19.681664,,,,,,,,,,,,,,,,,,
,,,,,44000,,,,16.8115,15.090412124707994,0.0003,64,20,39,1000.0,16.959311454545457,15.090412124707994,17.0,481,1121,38200,44,2.0997086881634257e-12,423,1.323031,0.011540152
,,,,,48000,,,,14.454835,12.71058961554988,0.0003,69,23,36,1000.0,19.092186520833334,12.71058961554988,19.1,576,1314,46200,48,2.1437912741439517e-12,510,1.3294084,0.011658153
12.245724099886143,12.7,24,43.96792390909091,12.245725,50001,1000.0,26.347135838568033,14.034149,,,,,,,,,,,,,,,,,,
,,,,,52000,,,,11.477916,9.839989208594977,0.0003,75,27,33,1000.0,20.935570249999998,9.839989208594977,20.9,679,1542,54200,52,2.3229818334236226e-12,600,1.2520545,0.011523425
,,,,,56000,,,,10.316041,7.3922997171021505,0.0003,81,30,31,1000.0,23.103186125,7.3922997171021505,23.1,791,1753,62200,56,2.4268005899650827e-12,688,1.2724409,0.0127487825
,,,,,60000,,,,9.431207,6.320527623033163,0.0003,87,34,30,1000.0,24.36125448333333,6.320527623033163,24.4,907,1969,70200,60,2.2639551607124987e-12,777,1.3218075,0.012475379
5.120309492686086,18.8,22,55.85136827272727,5.12157,60001,1000.0,28.184892329808452,7.9151416,,,,,,,,,,,,,,,,,,
,,,,,64000,,,,7.4420586,4.932853160476661,0.0003,93,37,28,1000.0,26.171218406250002,4.932853160476661,26.2,1036,2220,78200,64,2.2367615234412552e-12,866,1.6234584,0.01302482
,,,,,68000,,,,6.6127305,4.028325483805542,0.0003,99,41,27,1000.0,27.564508529411768,4.028325483805542,27.6,1173,2458,86200,68,2.3078482635481597e-12,955,1.4772162,0.01360901
3.304920603087862,23.2,23,52.89123645454545,3.3109796,70001,1000.0,29.979483666707825,5.6260753,,,,,,,,,,,,,,,,,,
,,,,,72000,,,,5.55764,3.1004380227974564,0.0003,104,44,26,1000.0,29.11351927777778,3.1004380227974564,29.1,1313,2723,94200,72,2.501157525990388e-12,1045,1.6340936,0.01353904
,,,,,76000,,,,7.340603,4.849899724909408,0.0003,110,47,25,1000.0,30.09767885526316,4.849899724909408,30.1,1463,2972,102200,76,2.2933006048100854e-12,1134,1.4487808,0.014906317
,,,,,80000,,,,6.4704704,3.7255198901050917,0.0003,116,51,24,1000.0,31.337760475000003,3.7255198901050917,31.3,1620,3231,110200,80,2.4101398024882012e-12,1226,1.6156676,0.014506
3.370621518888353,27.2,24,59.50664972727272,3.3733523,80001,1000.0,30.94109119327802,6.258118,,,,,,,,,,,,,,,,,,
,,,,,84000,,,,6.6886125,3.1661382254300747,0.0003,122,54,23,1000.0,32.63471515476191,3.1661382254300747,32.6,1786,3523,118200,84,2.3576744403421366e-12,1315,1.7965344,0.014754303
,,,,,88000,,,,6.1721516,2.687313411244314,0.0003,127,57,23,1000.0,33.97594236363636,2.687313411244314,34.0,1963,3801,126200,88,2.3500475309905335e-12,1406,1.8118641,0.014683357
2.5276976956121815,34.2,24,61.00325190909091,2.532825,90001,1000.0,31.231072697140018,5.536146,,,,,,,,,,,,,,,,,,
,,,,,92000,,,,5.514476,2.431511482222799,0.0003,133,61,22,1000.0,35.1329100326087,2.431511482222799,35.1,2141,4104,134200,92,2.3549815620577627e-12,1497,1.7508615,0.017725311
,,,,,96000,,,,5.96599,2.296339773429964,0.0003,139,64,21,1000.0,36.477013125000006,2.296339773429964,36.5,2328,4392,142200,96,2.433010104658284e-12,1587,1.5033073,0.014234015
,,,,,100000,,,,5.807585,2.3164795982751567,0.0003,144,68,21,1000.0,37.82934575000001,2.3164795982751567,37.8,2520,4686,150200,100,2.3430866456987323e-12,1678,1.9917318,0.016938936
2.106970357620837,42.5,23,69.4451610909091,2.1132696,100001,1000.0,30.526864238861673,6.0293274,,,,,,,,,,,,,,,,,,
,,,,,104000,,,,6.3904557,1.9314338663898507,0.0003,150,71,20,1000.0,40.52457174,1.9314338663898507,40.5,2715,5004,158200,104,2.4148742253471063e-12,1767,1.9909946,0.01909167
,,,,,108000,,,,6.336013,1.4060464917768367,0.0003,156,75,20,1000.0,43.65844033000001,1.4475357491471288,43.7,2913,5304,166200,108,2.5054536943904392e-12,1857,1.422722,0.016708715
0.746762040067345,54.3,22,97.73545818181819,1.0182859,110001,1000.0,31.68105077998413,7.383884,,,,,,,,,,,,,,,,,,
,,,,,112000,,,,8.537617,0.6193551438268589,0.0003,162,78,19,1000.0,47.250854540000006,0.9312971396120366,47.3,3103,5618,174200,112,2.6285663278633243e-12,1947,1.204661,0.01456953
,,,,,116000,,,,13.1679945,2.5034097589866553,0.0003,168,81,19,1000.0,52.51470332000001,2.5034097589866553,52.5,3291,5906,182200,116,2.6774966946054685e-12,2036,1.1163484,0.0084698945
,,,,,120000,,,,11.884319,1.1893023432515673,0.0003,174,85,19,1000.0,57.48521439000001,1.285991013087475,57.5,3479,6191,190200,120,2.679385720290429e-12,2122,1.0056201,0.007937538
1.285499202844539,67.8,23,143.90248136363635,2.0141718,120001,1000.0,32.15587840600783,12.492315,,,,,,,,,,,,,,,,,,
,,,,,124000,,,,13.338313,1.7404253485979007,0.0003,179,88,19,1000.0,63.341417779999986,1.7404253485979007,63.3,3678,6514,198200,124,2.5150889924860623e-12,2212,1.1307353,0.0096789
,,,,,128000,,,,14.247779,3.1345817579937196,0.0003,185,92,18,1000.0,68.12131812,3.1345817579937196,68.1,3875,6811,206200,128,2.61242633500296e-12,2301,1.0153011,0.006197467
3.4030102852438087,79.8,22,146.26490154545456,3.4060419,130001,1000.0,31.89705359586425,14.871692,,,,,,,,,,,,,,,,,,
,,,,,132000,,,,15.672464,2.951706808196501,0.0003,191,95,18,1000.0,73.34569469,2.951706808196501,73.3,4071,7130,214200,132,2.5604432598269313e-12,2392,1.0264783,0.007434997
,,,,,136000,,,,16.3039,3.425308472859173,0.0003,196,98,18,1000.0,78.14975885,3.425308472859173,78.1,4270,7429,222200,136,2.560261760440824e-12,2481,0.8509259,0.0059993695
,,,,,140000,,,,15.657526,3.128436226942561,0.0003,202,102,18,1000.0,82.67348,3.128436226942561,82.7,4470,7732,230200,140,2.6394432406585918e-12,2573,0.85817426,0.0053315563
2.9887976479329037,92.6,22,162.24869463636358,3.0159292,140001,1000.0,32.76359524612969,15.970071,,,,,,,,,,,,,,,,,,
,,,,,144000,,,,15.946602,3.753539687125712,0.0003,208,105,17,1000.0,87.1885096,3.753539687125712,87.2,4652,8041,238200,144,2.6550357645221972e-12,2667,0.97766876,0.0058185756
,,,,,148000,,,,15.894122,4.032707332931421,0.0003,213,109,17,1000.0,91.54866373999998,4.032707332931421,91.5,4842,8332,246200,148,2.4958937803101032e-12,2757,0.851684,0.005501873
3.0019346903773285,104.4,23,160.45409172727273,3.0206118,150001,1000.0,32.836126758094096,15.796569,,,,,,,,,,,,,,,,,,
,,,,,152000,,,,15.690236,3.311749661745576,0.0003,219,112,17,1000.0,96.07997159000003,3.311749661745576,96.1,5027,8641,254200,152,2.5704309918981033e-12,2847,0.70831865,0.004539283
,,,,,156000,,,,15.928269,3.14343190759366,0.0003,224,115,17,1000.0,100.35279494999999,3.14343190759366,100.4,5223,8938,262200,156,2.634663610987153e-12,2937,0.64569455,0.004833073
,,,,,160000,,,,16.110163,4.808093287984409,0.0003,230,119,17,1000.0,104.83895521999999,4.808093287984409,104.8,5417,9232,270200,160,2.3922886756997222e-12,3026,0.71228254,0.0045562075
2.870926818770174,116.2,22,160.75003245454545,2.8890083,160001,1000.0,30.945766620601272,15.882299,,,,,,,,,,,,,,,,,,
,,,,,164000,,,,15.987512,3.3647222227535587,0.0003,235,122,17,1000.0,109.00865105999999,3.3647222227535587,109.0,5616,9554,278200,164,2.6158115185247825e-12,3116,0.7407235,0.0045511466
,,,,,168000,,,,16.072048,3.382383810006133,0.0003,241,125,17,1000.0,113.19603275999998,3.382383810006133,113.2,5819,9859,286200,168,2.4858427712389784e-12,3208,0.6071516,0.0039963555
3.6899871999847083,126.7,23,152.77963936363633,3.696206,170001,1000.0,32.32684843629913,15.767593,,,,,,,,,,,,,,,,,,
,,,,,172000,,,,16.34368,3.9490805404336977,0.0003,246,128,16,1000.0,117.19344279999997,3.9490805404336977,117.2,6016,10180,294200,172,2.6594657843795792e-12,3298,0.7615203,0.004004893
,,,,,176000,,,,16.316278,3.455570514863683,0.0003,252,132,16,1000.0,121.53646167999999,3.455570514863683,121.5,6214,10477,302200,176,2.5138359636023533e-12,3388,0.81312287,0.00477667
,,,,,180000,,,,16.189741,3.5125114879763677,0.0003,258,135,16,1000.0,125.72723379999998,3.5125114879763677,125.7,6412,10779,310200,180,2.7236044981991882e-12,3480,0.72274154,0.003708905
3.6452021291060377,137.0,23,154.3819366363636,3.6645553,180001,1000.0,32.900486335916156,15.826248,,,,,,,,,,,,,,,,,,
,,,,,184000,,,,15.886939,3.41217477848539,0.0003,263,138,16,1000.0,129.62994615000002,3.41217477848539,129.6,6616,11107,318200,184,2.7947749412407525e-12,3570,0.65547866,0.0033059383
,,,,,188000,,,,16.423574,3.4443688084629964,0.0003,268,142,16,1000.0,133.5314504,3.4443688084629964,133.5,6816,11407,326200,188,2.4927626667780468e-12,3660,0.57238954,0.0027178663
3.1707479342754126,147.0,23,159.33047100000002,3.1854897,190001,1000.0,32.9747579761629,15.839294,,,,,,,,,,,,,,,,,,
,,,,,192000,,,,16.415073,3.511915109100436,0.0003,274,145,16,1000.0,137.41389725,3.511915109100436,137.4,7012,11729,334200,192,2.4438939892536826e-12,3751,0.6318717,0.002799882
,,,,,196000,,,,16.09555,3.5107884906120073,0.0003,280,148,16,1000.0,140.98071190999997,3.5107884906120073,141.0,7213,12031,342200,196,2.6201581432139393e-12,3842,0.6482802,0.0028320714
