eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
-27.216893818181816,0.5527825,2.8531308,1000.0,-4.3456331071454795,1,-27.3,26,2.84425423933604,,,,,,,,,,,,,,,,,,
,,,,,4000,,,,0,0.0003,6,0,3,105,4,37,-2.82869525,4.024666717946421,1000.0,1.0356694,1.4853624799618147e-13,0,-0.8489787869408044,-2.8,,
,,,,,8000,,,,0,0.0003,11,1,14,142,8,56,-5.359398249999999,3.5036017642004773,1000.0,1.0040312,-4.0258091977062497e-13,0,1.0163433497834127,-5.4,,
-27.23642781818182,0.5548351,2.8582022,1000.0,-4.293930143338025,10001,-27.1,23,2.853378754616404,,,,,,,,,,,,,,,,,,
,,,,,12000,,,,0,0.0003,17,2,31,113,12,105,-4.764060416666665,4.189235326920754,1000.0,1.0408894,4.385100506513461e-13,0,1.5684033595429314,-4.8,,
,,,,,16000,,,,0,0.0003,23,2,56,115,16,138,-2.1415165,4.812567245405127,1000.0,0.9358678,1.0272161685803298e-13,0,1.7392319978036654,-2.1,,
,,,,,20000,,,,0,0.0003,28,3,87,112,20,177,-1.07380485,3.192502254876438,1000.0,0.96867776,-2.305939120826276e-13,0,0.5470546089537752,-1.1,,
-27.378664090909094,0.55493736,2.8666067,1000.0,-4.338857052624347,20001,-27.3,24,2.8632569529298917,,,,,,,,,,,,,,,,,,
,,,,,24000,,,,0,0.0003,35,4,131,94,24,254,-1.5010867083333335,5.013113647299055,1000.0,0.94052964,-5.727538069495835e-13,0,1.7110025632092238,-1.5,,
,,,,,28000,,,,6200,0.0003,41,7,185,71,28,390,1.1401973928571427,24.16647022390707,1000.0,24.300674,1.7222167457200278e-12,71,24.16647022390707,1.1,0.22306202,4.648999
41.675482272727265,27.766481,25.696148,1000.0,21.183975629659464,30001,-11.3,24,25.696148322395914,,,,,,,,,,,,,,,,,,
,,,,,32000,,,,14200,0.0003,47,10,245,55,32,574,4.881881593749999,24.54959797521905,1000.0,24.764675,1.874202105130237e-12,160,24.54959797521905,4.9,0.034277927,3.0253997
,,,,,36000,,,,22200,0.0003,52,13,314,48,36,741,8.622661444444445,20.069370121297148,1000.0,21.348572,2.2143973508700325e-12,247,20.069370121297148,8.6,0.024075208,2.4161706
,,,,,40000,,,,30200,0.0003,58,17,391,43,40,915,11.177068349999999,16.220533259509573,1000.0,17.417082,2.1305480172152584e-12,334,16.220533259509573,11.2,0.018124705,2.165393
36.09427327272727,15.52959,14.477209,1000.0,25.82875531935774,40001,-1.5,22,14.477209105141073,,,,,,,,,,,,,,,,,,
,,,,,44000,,,,38200,0.0003,64,20,475,39,44,1122,13.551237613636363,12.970261837345687,1000.0,14.178523,2.1998339515671746e-12,422,12.970261837345687,13.6,0.013232938,1.5384815
,,,,,48000,,,,46200,0.0003,70,24,567,36,48,1313,15.2317935,10.7832285524209,1000.0,11.675832,2.0949355703211214e-12,511,10.7832285524209,15.2,0.016081447,1.571271
42.31196072727273,10.02967,8.519807,1000.0,27.488224793397084,50001,5.8,25,8.51980801879692,,,,,,,,,,,,,,,,,,
,,,,,52000,,,,54200,0.0003,76,27,668,33,52,1539,17.132836634615387,8.532257749574404,1000.0,9.898676,2.2776118600747156e-12,600,8.532257749574404,17.1,0.026197255,1.8140056
,,,,,56000,,,,62200,0.0003,81,30,774,32,56,1746,19.016728874999995,7.303330870238706,1000.0,8.546418,2.2005315990294593e-12,689,7.303330870238706,19.0,0.020481823,1.6680946
