eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
-1.6743884060996401,1000.0,23.477584454545454,24,1,9.919351766204098,-0.30864576,2.1387541,23.9,,,,,,,,,,,,,,,,,,
,,,,4000,,,,,0.0003,3,3.8251525457881527e-13,112,35,4,3.722244598255461,3.9322485,5,1000.0,3.9,0,0,0.08097493483125094,0,0.11902958,,
,,,,8000,,,,,0.0003,14,-1.7161068964812853e-13,146,54,8,2.7846805111643502,0.04613937499999965,11,1000.0,0.0,0,1,0.4224587760035728,0,0.15704554,,
-1.8620255338412064,1000.0,22.66040509090909,25,10001,7.131815089577078,-0.30203474,2.2794173,23.1,,,,,,,,,,,,,,,,,,
,,,,12000,,,,,0.0003,34,1.7895139615667708e-13,110,108,12,3.1777968120265023,2.4629998333333334,17,1000.0,2.5,0,2,-0.9200662200928794,0,0.11525879,,
,,,,16000,,,,,0.0003,61,5.060546132403077e-14,111,143,16,3.2346799843448606,1.6257371250000001,24,1000.0,1.6,0,2,-0.5587932483616109,0,0.07792523,,
,,,,20000,,,,,0.0003,96,-1.8138769933837876e-13,106,187,20,4.616197708840834,1.12889075,30,1000.0,1.1,0,3,-0.8397648210539621,0,0.18185034,,
-2.0126953221270996,1000.0,25.168395999999998,24,20001,8.402616881846399,-0.32771477,2.2491736,23.7,,,,,,,,,,,,,,,,,,
,,,,24000,,,,,0.0003,140,-3.686135534154802e-13,90,264,24,3.623297823153336,0.5239714166666666,36,1000.0,0.5,0,4,0.6869942535736546,0,0.1505109,,
,,,,28000,,,,,0.0003,194,2.1042459625991164e-12,70,398,28,27.288196153668586,4.034533964285714,42,1000.0,4.0,70,6,27.288196153668586,6200,28.609015,0.2849629,4.383748
27.530576868780244,1000.0,44.28386136363636,22,30001,24.990944857597228,29.484858,27.530577,28.5,,,,,,,,,,,,,,,,,,
,,,,32000,,,,,0.0003,254,1.9606233944881342e-12,54,581,32,29.4886257869233,7.34400646875,48,1000.0,7.3,159,10,29.4886257869233,14200,29.97684,0.035977278,2.3408349
