eval_ep_rewmean,eval mean 100 episode reward,eval_qs_difference,eval_abs_qs_difference,eval_time_elapsed,eval_discount_q,total timesteps,eval_qs,eval_eplenmean,update_time,qs_abs_difference,train_time,ep_rewmean,eplenmean,mean 100 episode reward,fps,qs_mean,discount_q,act_time,env_time,current_lr,n_updates,episodes,time_elapsed,qs_difference,qfs_loss,q_grad_norm
-18.35469609090909,-18.9,0.3102911655425556,0.91881937,23,-9.405415537892855,1,-0.5940423,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,4000,,,3,5.824574188326804,0,2.8749529999999996,1000.0,2.9,113,-0.22924706,-1.4533783381255997e-13,0,5,0.0003,0,4,35,-1.5736480714391887,,
,,,,,,8000,,,14,5.1311935445300945,0,2.3334694999999996,1000.0,2.3,149,-0.32144347,1.154500957749248e-13,1,11,0.0003,0,8,53,-0.25983097432590646,,
-15.928835727272725,-17.2,0.1612793290181262,0.8979654,24,-8.494475295083431,10001,-0.5906513,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,12000,,,31,3.5915215098196307,0,1.23833425,1000.0,1.2,116,-0.22840649,1.6739091443054144e-14,2,17,0.0003,0,12,103,1.1840297149669057,,
,,,,,,16000,,,57,3.716516185248648,0,-2.2760070625,1000.0,-2.3,117,-0.27156687,-3.2803202882741273e-13,2,23,0.0003,0,16,136,1.750197407980802,,
,,,,,,20000,,,93,4.907636152646184,0,-1.8285808000000003,1000.0,-1.8,110,-0.2950172,1.148737167722491e-13,3,29,0.0003,0,20,181,0.9806937670662268,,
-18.42896536363636,-17.5,0.2952895351838987,0.93367785,24,-9.581705193434038,20001,-0.59901816,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,24000,,,138,3.9390423844309232,0,-1.6671572916666666,1000.0,-1.7,92,-0.29633847,-5.821134573622041e-14,3,35,0.0003,0,24,258,-1.487718714756296,,
,,,,,,28000,,,190,21.959864692662116,71,0.31446946428571426,1000.0,0.3,71,20.90178,1.359358450622751e-12,6,40,0.0003,6200,28,393,21.959864692662116,0.27582607,4.5084023
31.493280090909092,-6.0,28.335701711573947,28.335705,24,24.901341631153354,30001,29.0198,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,32000,,,250,18.6648307914417,159,4.2979787187500005,1000.0,4.3,55,20.057457,1.9111634991812424e-12,10,46,0.0003,14200,32,577,18.6648307914417,0.050864547,2.6128182
,,,,,,36000,,,316,29.159569143183294,249,7.6422313611111115,1000.0,7.6,48,30.02186,1.9993510811818553e-12,13,52,0.0003,22200,36,743,29.159569143183294,0.03558182,2.8986921
,,,,,,40000,,,390,30.31633049668682,336,10.582075925000002,1000.0,10.6,43,32.024193,1.7567542695664925e-12,17,58,0.0003,30200,40,914,30.31633049668682,0.023832133,1.9533925
46.385684181818185,4.3,25.576125177558648,25.576124,23,23.51822863288746,40001,27.88639,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,44000,,,472,21.066108317091174,421,13.003945318181819,1000.0,13.0,39,21.978222,1.9908191873885565e-12,20,64,0.0003,38200,44,1116,21.066108317091174,0.016216714,1.7664986
,,,,,,48000,,,563,16.41247431995681,511,15.412333666666669,1000.0,15.4,36,17.885767,1.997549147613307e-12,23,69,0.0003,46200,48,1308,16.41247431995681,0.017293021,2.0085578
37.01601345454546,10.0,14.071487518481346,14.071487,23,25.76775960483533,50001,15.22208,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,52000,,,662,13.106270972059665,599,17.05045528846154,1000.0,17.1,33,14.643711,1.8678918303769905e-12,27,75,0.0003,54200,52,1529,13.106270972059665,0.010675733,1.3094411
,,,,,,56000,,,766,10.72692815145661,684,18.526705607142862,1000.0,18.5,32,11.7373,2.3180308849854752e-12,30,81,0.0003,62200,56,1729,10.72692815145661,0.0106568085,1.1810832
,,,,,,60000,,,876,8.706332130573466,769,20.199517433333334,1000.0,20.2,31,9.947972,2.353336960878574e-12,33,87,0.0003,70200,60,1935,8.706332130573466,0.009542539,1.1514033
40.96694627272727,14.4,8.488448779736308,8.488449,22,27.46354657637654,60001,9.866252,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,64000,,,997,7.350023008534951,858,21.62652653125,1000.0,21.6,29,8.716888,2.1369082141068143e-12,37,92,0.0003,78200,64,2177,7.350023008534951,0.0092318,1.1378639
,,,,,,68000,,,1128,5.7599448940346365,949,22.886942249999997,1000.0,22.9,28,7.107055,2.3606416757344282e-12,40,98,0.0003,86200,68,2409,5.7599448940346365,0.010765697,1.4202266
50.052119636363635,18.8,4.742802261402421,4.742802,23,28.178919855593723,70001,6.958301,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,72000,,,1269,4.400180820510741,1039,24.117746958333335,1000.0,24.1,26,6.0747924,2.1905186672134624e-12,44,104,0.0003,94200,72,2675,4.400180820510741,0.0109240115,1.2056208
,,,,,,76000,,,1416,3.669196760063901,1129,25.381423,1000.0,25.4,25,5.5883427,2.477791877814878e-12,47,109,0.0003,102200,76,2923,3.669196760063901,0.012947218,1.5593743
,,,,,,80000,,,1571,3.62742611186833,1221,26.505807824999998,1000.0,26.5,25,5.917719,2.1197109350383725e-12,50,115,0.0003,110200,80,3180,3.62742611186833,0.015189309,2.10043
51.764998636363636,22.5,3.4143056358291672,3.4143057,24,29.911420625791244,80001,5.6295753,1000.0,,,,,,,,,,,,,,,,,,
,,,,,,84000,,,1727,3.373338362743677,1306,27.611011416666667,1000.0,27.6,24,6.1867404,2.346332335252728e-12,54,121,0.0003,118200,84,3457,3.373338362743677,0.015798802,1.7902809
,,,,,,88000,,,1893,9.967422945710757,1397,28.675511636363638,1000.0,28.7,23,14.632409,1.970401641616357e-12,57,127,0.0003,126200,88,3723,9.967422945710757,0.017955685,1.4765403
