eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
-22.82842963636364,22,1,1000.0,0.01667573801680069,-7.052260988340521,1.8011025,-1.5679935,-23.6,,,,,,,,,,,,,,,,,,
,,4000,,,,,,,0,-6.664734323694906e-14,-1.0474519932958009,0,1000.0,0,3.6793385,3.7,5,33,118,3,0.0003,-0.64821494,3.8081885168183676,4,,
,,8000,,,,,,,1,-6.110403925536341e-14,0.7570542813922988,0,1000.0,0,-1.757108625,-1.8,11,52,152,14,0.0003,-0.55238986,3.423617619848341,8,,
-27.296308090909097,22,10001,1000.0,0.49488745266889417,-6.966644069723739,2.0116465,-1.5450457,-24.3,,,,,,,,,,,,,,,,,,
,,12000,,,,,,,1,1.9483502917740779e-13,-1.676949715228722,0,1000.0,0,-0.06517824999999992,-0.1,16,99,120,31,0.0003,-0.7009023,3.9505556516072198,12,,
,,16000,,,,,,,2,-7.373715572789053e-14,0.5330440115574749,0,1000.0,0,-2.5164263125000006,-2.5,22,131,121,56,0.0003,-0.5903644,2.8941868841280574,16,,
,,20000,,,,,,,3,-7.475456906552473e-14,-1.2616329106606552,0,1000.0,0,-2.7974063500000006,-2.8,27,169,117,87,0.0003,-0.7232146,2.9082879524270173,20,,
-20.933365181818186,22,20001,1000.0,-0.1895976167432493,-7.317673059279557,1.6619725,-1.5584846,-23.5,,,,,,,,,,,,,,,,,,
,,24000,,,,,,,3,4.2027001286988205e-13,0.3785202235418002,0,1000.0,0,-2.903436916666667,-2.9,33,237,100,124,0.0003,-0.6127938,3.7646905879594934,24,,
,,28000,,,,,,,6,1.646122589714848e-12,21.923353971126165,69,1000.0,6200,-1.6104473214285717,-1.6,39,368,76,175,0.0003,22.275082,21.923353971126165,28,3.8616183,0.29879043
44.257788454545455,24,30001,1000.0,20.950047858703545,23.049936517753952,20.950048,23.093884,-7.9,,,,,,,,,,,,,,,,,,
,,32000,,,,,,,10,1.713914541404143e-12,25.039793018025534,157,1000.0,14200,2.6113491249999994,2.6,45,553,57,236,0.0003,26.172108,25.039793018025534,32,2.8464272,0.040084224
,,36000,,,,,,,13,1.9293974869985436e-12,20.85484030340868,244,1000.0,22200,6.440778833333334,6.4,51,721,49,306,0.0003,21.932167,20.85484030340868,36,2.105856,0.025727121
,,40000,,,,,,,16,1.9625067470679158e-12,20.355953607573156,331,1000.0,30200,9.308055300000001,9.3,57,895,44,383,0.0003,21.61117,20.355953607573156,40,1.9103508,0.019612782
35.34607427272727,24,40001,1000.0,15.020286388477569,24.400724713350645,15.0202875,16.139223,1.1,,,,,,,,,,,,,,,,,,
,,44000,,,,,,,20,1.9268658119477643e-12,13.405051617327045,416,1000.0,38200,11.691183477272729,11.7,62,1100,39,466,0.0003,14.529731,13.405051617327045,44,1.6657213,0.016834734
,,48000,,,,,,,23,2.0720629653838938e-12,10.774171690733153,502,1000.0,46200,13.378699666666668,13.4,68,1292,37,561,0.0003,12.178947,10.774171690733153,48,1.5510919,0.019565806
34.45899636363636,24,50001,1000.0,17.91560722837791,23.344516835954277,17.915606,19.050398,6.8,,,,,,,,,,,,,,,,,,
,,52000,,,,,,,26,1.9202379956222185e-12,20.50948401985486,590,1000.0,54200,14.821064519230768,14.8,74,1515,34,662,0.0003,22.427906,20.50948401985486,52,2.0893407,0.035197023
,,56000,,,,,,,30,2.1864490717212205e-12,19.766070197860113,677,1000.0,62200,16.64386557142857,16.6,80,1723,32,771,0.0003,21.060198,19.766070197860113,56,1.7943742,0.018561888
,,60000,,,,,,,33,1.895474002500978e-12,20.002939420202413,764,1000.0,70200,18.190753383333334,18.2,86,1940,30,891,0.0003,21.139755,20.002939420202413,60,1.5612724,0.016989522
34.24113263636364,24,60001,1000.0,18.813647935555394,23.66551433092128,18.813648,19.894875,10.7,,,,,,,,,,,,,,,,,,
,,64000,,,,,,,37,2.0515197129455094e-12,12.891510670766442,851,1000.0,78200,19.448215796874997,19.4,92,2187,29,1015,0.0003,14.5719,12.891510670766442,64,1.4577142,0.014926635
,,68000,,,,,,,40,2.2120742767762822e-12,8.91834080255971,939,1000.0,86200,21.17601077941176,21.2,98,2421,28,1150,0.0003,11.520291,8.91834080255971,68,1.2497069,0.013622177
54.416926181818184,24,70001,1000.0,5.710499437040759,29.246609020862923,5.73756,8.256778,16.0,,,,,,,,,,,,,,,,,,
,,72000,,,,,,,43,2.433295184930104e-12,5.851127780375811,1028,1000.0,94200,22.775669722222222,22.8,104,2685,26,1290,0.0003,8.2980995,5.851127780375811,72,1.2296144,0.013718036
,,76000,,,,,,,47,2.2776535820228447e-12,5.083032145318207,1115,1000.0,102200,24.410669842105264,24.4,110,2933,25,1439,0.0003,7.9059315,5.083032145318207,76,1.4413555,0.015903214
,,80000,,,,,,,50,2.415861836209732e-12,4.782027379040464,1203,1000.0,110200,25.857711262499997,25.9,116,3190,25,1597,0.0003,6.774814,4.782027379040464,80,1.4056281,0.0141582955
56.002387545454546,24,80001,1000.0,5.22403237971253,29.964838658827443,5.241313,7.857752,20.5,,,,,,,,,,,,,,,,,,
,,84000,,,,,,,54,2.40134391854053e-12,1.8865962280356123,1293,1000.0,118200,27.399693214285715,27.4,122,3477,24,1759,0.0003,4.925114,1.8877654784376947,84,1.8139879,0.017189333
,,88000,,,,,,,57,2.3252664332900104e-12,2.4427005742442054,1383,1000.0,126200,28.837167761363638,28.8,128,3752,23,1934,0.0003,5.86424,2.4427005742442054,88,1.9338331,0.019158445
68.05171081818182,24,90001,1000.0,1.74027978286083,31.059883496323508,1.7721457,5.4705224,29.6,,,,,,,,,,,,,,,,,,
,,92000,,,,,,,60,2.3215511287025406e-12,2.2053977858729756,1473,1000.0,134200,30.319986858695646,30.3,134,4056,22,2112,0.0003,5.8537664,2.2053977858729756,92,1.7268155,0.016853828
,,96000,,,,,,,64,2.4407850109391963e-12,1.5466115158876579,1560,1000.0,142200,31.72936305208334,31.7,139,4340,22,2297,0.0003,5.421693,1.6189074216795878,96,2.4047735,0.021889258
,,100000,,,,,,,67,2.377339673482861e-12,2.9352892486379267,1650,1000.0,150200,33.442153250000004,33.4,145,4632,21,2489,0.0003,8.903896,2.937584122884908,100,1.5302166,0.016997462
71.63119990909091,23,100001,1000.0,3.6124130979509954,31.13565958733216,3.662481,7.693103,40.3,,,,,,,,,,,,,,,,,,
,,104000,,,,,,,70,2.452151953075851e-12,2.2891796763538452,1740,1000.0,158200,38.60831413,38.6,150,4950,21,2684,0.0003,13.647223,2.2891796763538452,104,1.3838443,0.014165831
,,108000,,,,,,,73,2.628778557689852e-12,2.383323972840895,1830,1000.0,166200,44.836921339999996,44.8,156,5249,20,2882,0.0003,13.329124,2.383323972840895,108,1.1050302,0.011468649
136.06990327272726,23,110001,1000.0,1.6331303648354685,32.21443674481097,1.8143704,12.050892,57.1,,,,,,,,,,,,,,,,,,
,,112000,,,,,,,76,2.661611918603711e-12,1.5710735802558264,1920,1000.0,174200,50.45850101,50.5,162,5565,20,3073,0.0003,13.214228,1.5712427207634112,112,1.0777142,0.009687021
,,116000,,,,,,,80,2.6973613939344378e-12,1.6602091097366178,2005,1000.0,182200,56.87435636999999,56.9,168,5846,19,3259,0.0003,13.440397,1.6602091097366178,116,1.0917678,0.00952242
,,120000,,,,,,,83,2.6794921023462864e-12,1.9323239067105151,2093,1000.0,190200,63.05789173,63.1,173,6136,19,3449,0.0003,13.755471,1.9323239067105151,120,1.0015731,0.009038065
155.1868057272727,23,120001,1000.0,1.5413573537933807,32.031360972288034,1.7398368,13.888932,70.3,,,,,,,,,,,,,,,,,,
,,124000,,,,,,,86,2.4812477151237523e-12,2.186728832098258,2181,1000.0,198200,69.17363475,69.2,179,6453,19,3644,0.0003,14.473734,2.186728832098258,124,0.92622983,0.008212574
,,128000,,,,,,,89,2.627512747087157e-12,3.026139751040578,2271,1000.0,206200,75.1461668,75.1,185,6750,18,3841,0.0003,15.343746,3.0264187809202525,128,1.1722935,0.010129268
151.26988645454546,23,130001,1000.0,3.481267074953694,32.5449732699341,3.4996285,15.386303,82.9,,,,,,,,,,,,,,,,,,
,,132000,,,,,,,93,2.54814118321616e-12,2.975160091003355,2360,1000.0,214200,80.02141354000001,80.0,191,7070,18,4037,0.0003,15.163702,2.975160091003355,132,1.0118712,0.007997625
