eval_discount_q,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval mean 100 episode reward,eval_time_elapsed,eval_abs_qs_difference,eval_eplenmean,discount_q,current_lr,n_updates,episodes,qs_abs_difference,eplenmean,fps,mean 100 episode reward,train_time,env_time,ep_rewmean,update_time,qs_difference,time_elapsed,qs_mean,act_time,q_grad_norm,qfs_loss
5.39408951282664,-2.6872386875034664,1,19.31503318181818,-1.2897502,19.0,24,3.4572473,1000.0,,,,,,,,,,,,,,,,,,
,,4000,,,,,,,9.058431813098137e-15,0.0003,0,4,4.289393736196293,1000.0,107,1.1,0,6,1.1427922499999998,3,-0.8059304088786572,37,-0.25328377,0,,
,,8000,,,,,,,-2.1484620205974406e-13,0.0003,0,8,4.290388913185208,1000.0,139,-3.2,0,12,-3.21434675,15,-1.718900314549788,57,-0.39733014,1,,
5.712029254839943,-2.6362132196731007,10001,19.11220390909091,-1.2904837,19.1,25,3.4088728,1000.0,,,,,,,,,,,,,,,,,,
,,12000,,,,,,,-2.1821229282333988e-13,0.0003,0,12,2.83992299380703,1000.0,110,0.2,0,18,0.15311591666666677,33,-1.430510989228492,108,-0.2743194,2,,
,,16000,,,,,,,1.8512110471879017e-13,0.0003,0,16,6.682340606645139,1000.0,114,3.2,0,24,3.2452431875000003,56,-2.968237735525958,139,-0.26530603,2,,
,,20000,,,,,,,2.6300127689490566e-13,0.0003,0,20,3.9708479960840184,1000.0,111,4.0,0,29,3.95931315,88,-0.7340605248710381,179,-0.33637524,3,,
5.07149835291959,-2.6454531145899556,20001,18.545277090909092,-1.2930038,18.9,23,3.3970308,1000.0,,,,,,,,,,,,,,,,,,
,,24000,,,,,,,-3.6556250555375257e-13,0.0003,0,24,5.103620633361066,1000.0,96,1.4,0,35,1.4323483333333338,126,-0.10851603757754262,248,-0.38790557,4,,
,,28000,,,,,,,1.1385916090117774e-12,0.0003,6200,28,19.41537274032207,1000.0,73,4.1,75,41,4.079546250000001,173,19.41537274032207,381,19.51634,6,3.885753,0.20392573
26.95895153770864,20.636483462805895,30001,43.847308454545455,22.352278,24.7,23,20.636482,1000.0,,,,,,,,,,,,,,,,,,
,,32000,,,,,,,2.1008987244637916e-12,0.0003,14200,32,20.389245560692434,1000.0,56,7.0,165,47,7.003366937500001,233,20.389245560692434,565,21.260246,10,2.7290006,0.042671785
,,36000,,,,,,,2.100443244480865e-12,0.0003,22200,36,19.049634591250893,1000.0,49,10.6,251,53,10.587925111111113,303,19.049634591250893,732,20.18302,13,2.111837,0.025389679
,,40000,,,,,,,2.074215005290288e-12,0.0003,30200,40,17.991512364530095,1000.0,44,13.1,340,58,13.107773650000002,378,17.991512364530095,907,18.822165,17,1.6397414,0.01773902
27.077750424392146,13.934789543941095,40001,43.50637590909091,15.60473,28.6,22,13.93479,1000.0,,,,,,,,,,,,,,,,,,
,,44000,,,,,,,2.3142561408623447e-12,0.0003,38200,44,10.757194085991458,1000.0,39,15.5,428,64,15.538147136363637,461,10.757194085991458,1111,11.774078,20,2.297054,0.022666097
,,48000,,,,,,,2.000844280326946e-12,0.0003,46200,48,11.750505792213989,1000.0,36,17.0,515,70,17.018817249999998,552,11.750505792213989,1299,12.809115,23,1.7631668,0.031193225
21.694299005798094,32.41525386290224,50001,18.57957172727273,32.125477,27.3,24,32.415257,1000.0,,,,,,,,,,,,,,,,,,
,,52000,,,,,,,1.8599201156892826e-12,0.0003,54200,52,25.08060257042471,1000.0,34,17.7,604,75,17.68691115384615,650,25.08060257042471,1522,26.727152,27,2.3616557,0.03763655
,,56000,,,,,,,1.9769353772049844e-12,0.0003,62200,56,24.15131322841731,1000.0,32,19.3,696,81,19.31210917857143,752,24.15131322841731,1726,25.399921,30,2.1992757,0.024412967
,,60000,,,,,,,2.1539239476679784e-12,0.0003,70200,60,15.885771129079869,1000.0,30,20.9,781,87,20.896741916666667,869,15.885771129079869,1939,18.008211,34,1.3549215,0.015071031
28.201366175769564,12.035693539498936,60001,52.76519881818181,14.520279,30.5,24,12.035693,1000.0,,,,,,,,,,,,,,,,,,
,,64000,,,,,,,2.247003218256983e-12,0.0003,78200,64,15.307359735668268,1000.0,29,22.6,868,93,22.58084884375,989,15.307359735668268,2182,17.287851,37,1.5768889,0.01660134
,,68000,,,,,,,2.1785794768423468e-12,0.0003,86200,68,7.163806066245586,1000.0,28,23.9,953,98,23.929456014705885,1118,7.163806066245586,2407,9.060938,40,1.5094646,0.017350832
29.775346157797586,6.844898796602501,70001,48.107979181818195,8.707938,32.8,24,6.852289,1000.0,,,,,,,,,,,,,,,,,,
