eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
1000.0,1.3284421784265652,25,-10.7,-8.015376545454545,5.0001143934791195,1,0.03189321,1.8540874,,,,,,,,,,,,,,,,,,
,,,,,,4000,,,-2.119171,6.136016419425028e-14,6,4,4,0.0003,1000.0,-0.4300584369397026,104,2.649473742176522,0,38,0,-2.1,0,0.39872295,,
,,,,,,8000,,,-2.588902,2.1056434158503284e-13,12,15,8,0.0003,1000.0,1.7518165676599051,137,4.391360636870632,0,58,1,-2.6,0,0.38094562,,
1000.0,0.7660898164131051,25,-4.6,0.9938592727272731,9.059610356106795,10001,-0.031425692,1.4383658,,,,,,,,,,,,,,,,,,
,,,,,,12000,,,-0.7064708333333334,2.3936638389609035e-13,18,35,12,0.0003,1000.0,-1.078895729239934,107,3.7097399441358485,0,111,2,-0.7,0,0.43728343,,
,,,,,,16000,,,-1.3514096875000003,-6.548494539377564e-14,24,61,16,0.0003,1000.0,-0.6328807477981611,109,3.448027427238396,0,145,2,-1.4,0,0.35799485,,
,,,,,,20000,,,-0.17577135000000038,2.0348793051195268e-13,30,95,20,0.0003,1000.0,0.6394684133281674,106,4.919157931162974,0,187,3,-0.2,0,0.48401862,,
1000.0,1.631828212008199,24,-7.2,-11.974328363636364,3.6566312155201,20001,0.07238889,2.0742788,,,,,,,,,,,,,,,,,,
,,,,,,24000,,,-2.0048864166666673,-4.602307218558127e-13,36,132,24,0.0003,1000.0,0.2410058515055635,92,4.240403440736493,0,258,4,-2.0,0,0.4523493,,
,,,,,,28000,,,1.1676407499999992,1.8703164755479737e-12,42,178,28,0.0003,1000.0,21.50306115527836,71,21.50306115527836,77,391,7,1.2,6200,21.141132,0.16068906,3.1289434
1000.0,17.83547205520375,24,5.7,45.52666063636364,26.86484214637044,30001,19.728518,17.835472,,,,,,,,,,,,,,,,,,
,,,,,,32000,,,5.6580094375,2.2601295983427054e-12,47,238,32,0.0003,1000.0,16.919982278119043,55,16.919982278119043,164,574,10,5.7,14200,18.149872,0.042677578,2.511281
,,,,,,36000,,,8.769150944444444,2.141431558827804e-12,53,306,36,0.0003,1000.0,21.565134800501124,48,21.565134800501124,253,742,14,8.8,22200,23.0315,0.020070124,1.9622313
,,,,,,40000,,,12.0636985,1.959498851708536e-12,59,385,40,0.0003,1000.0,18.208741692697593,43,18.208741692697593,339,918,17,12.1,30200,19.50422,0.019239083,1.7136207
1000.0,18.83706706669856,22,12.6,39.157883909090906,23.107525142785963,40001,20.465208,18.871487,,,,,,,,,,,,,,,,,,
,,,,,,44000,,,12.304642318181818,1.8997741364009226e-12,65,470,44,0.0003,1000.0,39.16323409655803,39,39.16323409655803,427,1123,20,12.3,38200,37.382343,0.15967056,4.755113
,,,,,,48000,,,13.397283854166666,1.8062820814166466e-12,71,560,48,0.0003,1000.0,38.86803218695505,36,38.86803218695505,515,1312,24,13.4,46200,38.924816,0.08580944,4.691821
1000.0,49.58998085830476,23,10.2,-6.478252545454544,17.158043580519383,50001,47.243507,49.58998,,,,,,,,,,,,,,,,,,
