#{"t_start": 1652023586.9097877, "env_id": "Swimmer-v3"}
r,l,t
-14.978285,1000,31.76355
9.375179,1000,34.450201
2.680759,1000,37.66921
-1.796169,1000,41.152826
-2.369456,1000,45.320303
-0.619083,1000,50.034334
-26.664372,1000,54.883789
-3.843396,1000,60.749332
0.264628,1000,66.884401
1.30017,1000,73.247727
18.959668,1000,104.089587
-7.527344,1000,110.859499
-1.663512,1000,117.820948
-9.361466,1000,125.515499
0.490808,1000,133.751096
-4.231561,1000,142.457634
-10.418553,1000,151.620108
-2.824905,1000,161.092515
0.682632,1000,171.024868
-2.21883,1000,181.218559
1.844233,1000,216.260766
20.510243,1000,227.495325
26.533369,1000,239.250383
11.964851,1000,252.353315
-5.401742,1000,266.405467
-6.613874,1000,308.060727
34.357944,1000,346.714761
26.752393,1000,385.06585
17.495972,1000,423.10312
24.834934,1000,462.075929
19.184075,1000,525.807933
29.749079,1000,567.219373
47.226965,1000,609.348363
42.7168,1000,651.871973
39.535869,1000,694.321856
40.622664,1000,737.092114
37.189532,1000,780.514065
35.154537,1000,823.815793
42.921403,1000,867.444333
50.045466,1000,911.503379
65.438705,1000,979.318086
30.598281,1000,1024.761207
33.234798,1000,1070.949645
34.977391,1000,1118.307679
34.611861,1000,1165.678518
45.218888,1000,1212.330192
41.477808,1000,1260.220354
39.447039,1000,1309.211843
38.162782,1000,1356.715308
34.391262,1000,1405.764762
42.694344,1000,1479.062988
37.488504,1000,1528.913548
31.121001,1000,1579.141819
38.092201,1000,1628.989621
39.690508,1000,1681.825356
41.070287,1000,1733.745098
39.112282,1000,1786.867222
46.266442,1000,1838.61942
43.166359,1000,1892.552087
46.432467,1000,1944.636622
44.060488,1000,2021.026772
47.949834,1000,2072.086689
47.828873,1000,2125.318412
44.056973,1000,2181.431063
48.382659,1000,2238.093029
47.138088,1000,2293.573704
48.693661,1000,2349.799535
49.416726,1000,2405.958917
48.601685,1000,2464.896671
49.468443,1000,2525.549988
45.831256,1000,2609.049716
53.784195,1000,2668.279469
47.599645,1000,2729.527118
50.550659,1000,2791.462796
51.41818,1000,2852.763651
49.333089,1000,2913.986152
48.08902,1000,2975.832264
49.083282,1000,3039.170408
50.778559,1000,3102.690514
33.156713,1000,3167.220767
37.150452,1000,3255.873413
62.106864,1000,3322.485199
80.068427,1000,3385.158718
62.524224,1000,3449.123879
67.050191,1000,3515.992684
61.199188,1000,3581.294754
80.581981,1000,3646.114243
55.751071,1000,3711.577989
58.984018,1000,3777.691044
73.874898,1000,3846.305771
99.595923,1000,3937.261849
90.451208,1000,4007.503169
122.451712,1000,4077.193394
133.327076,1000,4145.365067
135.553866,1000,4213.019368
134.471314,1000,4283.100596
145.277001,1000,4355.01299
131.813233,1000,4426.207363
125.014316,1000,4496.220993
130.381506,1000,4566.173805
144.166989,1000,4660.790206
142.866425,1000,4733.18348
138.292164,1000,4804.767617
140.580759,1000,4874.64222
145.072746,1000,4944.515345
129.580777,1000,5016.372653
141.996418,1000,5090.754745
134.269411,1000,5165.276957
146.925276,1000,5239.227873
147.709217,1000,5310.966224
148.772998,1000,5406.300512
150.124969,1000,5480.862762
145.242526,1000,5556.528175
150.183699,1000,5632.023566
146.160481,1000,5706.334869
144.533406,1000,5781.12381
