eval mean 100 episode reward,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,eval_eplenmean,total timesteps,eval_time_elapsed,eval_qs,eval_discount_q,mean 100 episode reward,qs_difference,n_updates,ep_rewmean,qs_mean,time_elapsed,env_time,act_time,discount_q,update_time,train_time,fps,qs_abs_difference,eplenmean,current_lr,episodes,q_grad_norm,qfs_loss
11.8,6.4985337,11.691004545454547,-2.821201396194354,1000.0,1,24,-1.8923614,2.426873178006593,,,,,,,,,,,,,,,,,,
,,,,,4000,,,,-1.2,-0.4109256678487949,0,-1.179629,-0.3995111,36,6,0,-1.5525783420714156e-13,3,0,109,3.181913036319546,1000.0,0.0003,4,,
,,,,,8000,,,,-4.8,-0.07331211632923258,0,-4.776852875,-0.29558587,56,12,1,-1.317164775062901e-13,15,0,141,2.842885470243002,1000.0,0.0003,8,,
9.3,6.904147,6.881428818181817,-2.755934455148908,1000.0,10001,24,-1.8955028,-1.7402907726003733,,,,,,,,,,,,,,,,,,
,,,,,12000,,,,-2.1,0.303777356975621,0,-2.1014750833333333,-0.38226485,106,18,2,-5.420301698334275e-14,33,0,112,4.88941482587017,1000.0,0.0003,12,,
,,,,,16000,,,,-2.5,-0.033385215215746084,0,-2.4989644999999996,-0.21372727,138,23,2,-1.973433289682842e-13,57,0,115,2.8992050254631083,1000.0,0.0003,16,,
,,,,,20000,,,,-2.7,-0.3998352130335478,0,-2.7381544,-0.3928524,177,29,3,-1.860070749279606e-13,88,0,112,3.271667746674944,1000.0,0.0003,20,,
9.9,6.6643934,11.047094363636363,-3.1156462415974744,1000.0,20001,24,-1.9135503,-0.9837033929105985,,,,,,,,,,,,,,,,,,
,,,,,24000,,,,0.3,-1.8199585490792427,0,0.25373366666666675,-0.30703098,248,35,4,-2.571836423248935e-13,127,0,96,2.79535541058665,1000.0,0.0003,24,,
,,,,,28000,,,,2.0,20.55548508944936,6200,1.970868892857143,20.923183,383,41,6,1.8754168778962763e-12,180,71,72,20.55548508944936,1000.0,0.0003,28,5.5314274,0.38301796
12.3,24.069622,20.146117,24.069619584684666,1000.0,30001,23,23.803988,23.03274261615833,,,,,,,,,,,,,,,,,,
,,,,,32000,,,,4.6,22.52249469199676,14200,4.57651215625,23.40087,566,47,10,1.703924809105884e-12,239,159,56,22.52249469199676,1000.0,0.0003,32,3.5895367,0.054015573
,,,,,36000,,,,8.8,19.075180909128203,22200,8.79307463888889,20.514923,736,53,13,2.1314149396537107e-12,309,249,48,19.075180909128203,1000.0,0.0003,36,2.4241707,0.02739912
,,,,,40000,,,,12.0,25.110847089511704,30200,12.046540625,28.030054,911,58,16,1.6948269308558218e-12,383,339,43,25.110847089511704,1000.0,0.0003,40,2.2682436,0.025528513
24.1,20.033442,76.2570700909091,20.033440886889647,1000.0,40001,23,25.33266,23.49988321987779,,,,,,,,,,,,,,,,,,
,,,,,44000,,,,14.7,15.80990651188973,38200,14.684336363636364,16.83852,1117,64,20,2.006742277099151e-12,468,427,39,15.80990651188973,1000.0,0.0003,44,1.7719183,0.0175441
,,,,,48000,,,,16.8,17.704212460088748,46200,16.80971658333333,19.213905,1309,70,23,1.979016222338219e-12,560,515,36,17.704212460088748,1000.0,0.0003,48,1.4597151,0.013862545
27.9,10.704014,42.97841081818182,10.704013627461094,1000.0,50001,24,12.27288,27.565395359523407,,,,,,,,,,,,,,,,,,
,,,,,52000,,,,18.5,9.805283877437843,54200,18.453909384615383,11.276822,1528,76,27,1.8508487429582805e-12,659,602,34,9.805283877437843,1000.0,0.0003,52,1.193369,0.012093092
,,,,,56000,,,,19.8,7.686465424435794,62200,19.81388008928571,8.823504,1734,81,30,2.4138120070581663e-12,764,691,32,7.686465424435794,1000.0,0.0003,56,1.1602806,0.010338672
,,,,,60000,,,,21.4,5.110748315315445,70200,21.409247250000004,6.723968,1944,87,33,2.462606560114645e-12,876,779,30,5.110748315315445,1000.0,0.0003,60,1.3869733,0.013206287
31.1,4.5912414,49.838912545454555,4.588592611458617,1000.0,60001,22,6.767299,28.33519799701548,,,,,,,,,,,,,,,,,,
,,,,,64000,,,,22.9,3.766307327927448,78200,22.944546921875,5.5194364,2182,93,37,2.1558330931248838e-12,995,864,29,3.766307327927448,1000.0,0.0003,64,1.194303,0.009573804
,,,,,68000,,,,24.4,2.751770437646917,86200,24.44238436764706,4.7563357,2406,99,40,2.3870873178766196e-12,1122,950,28,2.751770437646917,1000.0,0.0003,68,1.2347214,0.012164432
33.2,1.6477946,48.062807,1.6472015697563471,1000.0,70001,24,3.6848307,27.96617396390665,,,,,,,,,,,,,,,,,,
,,,,,72000,,,,25.8,1.5727620948849304,94200,25.830107166666664,4.1363406,2669,105,43,2.2877174924739635e-12,1261,1039,26,1.6068383910251245,1000.0,0.0003,72,1.496956,0.015249846
,,,,,76000,,,,27.1,1.6540341486759094,102200,27.08775380263158,3.6197925,2915,110,47,2.4118303106874122e-12,1408,1127,26,1.6540341486759094,1000.0,0.0003,76,1.395688,0.015491074
,,,,,80000,,,,28.0,9.55562686097388,110200,27.997210787500002,10.288293,3168,116,50,2.099297127554539e-12,1563,1215,25,9.55562686097388,1000.0,0.0003,80,1.6668005,0.020605536
33.8,9.260779,37.458299909090904,9.26077982233024,1000.0,80001,23,10.225216,28.094890536539275,,,,,,,,,,,,,,,,,,
,,,,,84000,,,,29.5,2.669316189606577,118200,29.543176547619044,6.2160916,3450,122,53,2.1989723269264366e-12,1722,1303,24,2.7117471121688945,1000.0,0.0003,84,1.5746007,0.017391402
,,,,,88000,,,,31.2,9.850747739639175,126200,31.206923420454544,12.5270815,3713,127,57,2.35593305779611e-12,1888,1389,23,9.850747739639175,1000.0,0.0003,88,1.5737807,0.020226818
38.7,3.623336,61.88289736363636,3.5206190829858226,1000.0,90001,23,6.6877775,30.516477907896522,,,,,,,,,,,,,,,,,,
,,,,,92000,,,,33.4,2.0466194756918217,134200,33.359949,8.095322,4009,133,60,2.435292351446136e-12,2062,1478,22,2.0503633007356115,1000.0,0.0003,92,1.6047057,0.01762588
,,,,,96000,,,,37.4,1.1572464842017156,142200,37.44707579166667,11.58466,4285,139,63,2.4542294731521046e-12,2236,1568,22,1.3433584245844625,1000.0,0.0003,96,1.2453109,0.013046398
,,,,,100000,,,,41.3,0.9537612613870393,150200,41.27405331999999,10.945891,4568,144,67,2.4756052970030446e-12,2419,1658,21,1.03100905873329,1000.0,0.0003,100,1.2576737,0.012707676
52.5,1.4858009,141.11089836363638,0.6196828938325737,1000.0,100001,24,11.559422,32.033846018231,,,,,,,,,,,,,,,,,,
,,,,,104000,,,,47.0,0.7900183871281415,158200,46.98030185000002,11.517549,4876,150,70,2.70684854189892e-12,2606,1744,21,0.8996860562353879,1000.0,0.0003,104,1.1485338,0.010466653
,,,,,108000,,,,52.8,1.476919930268235,166200,52.82445844000001,11.653201,5167,156,73,2.641923173272271e-12,2799,1831,20,1.5556677163289245,1000.0,0.0003,108,1.014247,0.009820872
66.8,1.962552,140.44509854545456,1.8447868247549493,1000.0,110001,23,12.723038,31.98239886518237,,,,,,,,,,,,,,,,,,
,,,,,112000,,,,58.6,1.1940351194905099,174200,58.62981182000001,13.013119,5483,161,77,2.5953963299684583e-12,2992,1920,20,1.348320791953815,1000.0,0.0003,112,1.055936,0.009347846
,,,,,116000,,,,64.6,1.4590360236258972,182200,64.63867024999999,12.776684,5783,167,80,2.548485055475607e-12,3192,2010,20,1.4641858491318513,1000.0,0.0003,116,1.0802736,0.008318599
