eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval mean 100 episode reward,eval_abs_qs_difference,total timesteps,act_time,ep_rewmean,n_updates,qs_difference,train_time,eplenmean,fps,mean 100 episode reward,qs_abs_difference,current_lr,env_time,episodes,discount_q,qs_mean,time_elapsed,update_time,qfs_loss,q_grad_norm
1000.0,-3.314487758857919,13.686032636363633,22,-3.0872133,11.528575051851783,14.0,3.3144875,1,,,,,,,,,,,,,,,,,,
,,,,,,,,4000,0,-8.87517025,0,1.4322294882342859,0,1000.0,115,-8.9,5.344453857584167,0.0003,5,4,8.058744599433473e-15,-0.6621024,34,3,,
,,,,,,,,8000,1,0.7722578750000002,0,-4.024235749239724,0,1000.0,150,0.8,6.0147271730273,0.0003,11,8,1.151811052859809e-13,-0.57595354,52,14,,
1000.0,-3.109696566352616,11.267543090909092,22,-3.0917432,11.200011060247173,12.7,3.109701,10001,,,,,,,,,,,,,,,,,,
,,,,,,,,12000,2,0.8522663333333332,0,-1.478096472380765,0,1000.0,118,0.9,3.9267869748056174,0.0003,16,12,5.1553425191044416e-14,-0.72184616,101,32,,
,,,,,,,,16000,2,-1.5684755625,0,-0.4020865707292335,0,1000.0,119,-1.6,4.7598610386361875,0.0003,22,16,-7.622398916957477e-15,-0.66174465,133,56,,
,,,,,,,,20000,3,-0.5867171999999999,0,-0.9792916338269309,0,1000.0,115,-0.6,3.7520234387664533,0.0003,27,20,-1.9954525790455028e-13,-0.64740074,172,88,,
1000.0,-3.0051521590102372,9.512626727272727,22,-3.0924263,10.490270619070541,11.8,3.0051641,20001,,,,,,,,,,,,,,,,,,
,,,,,,,,24000,3,0.10976704166666702,0,-1.8388898402752456,0,1000.0,98,0.1,4.430315649727217,0.0003,33,24,-7.792835183819251e-14,-0.44130856,242,128,,
,,,,,,,,28000,6,4.290199107142858,6200,20.03505568299958,68,1000.0,74,4.3,20.03505568299958,0.0003,38,28,1.5482012493032186e-12,20.491037,374,181,0.1876671,5.620961
1000.0,19.158513614496112,23.629474545454546,24,19.702955,18.36876132975061,14.4,19.158514,30001,,,,,,,,,,,,,,,,,,
,,,,,,,,32000,10,7.870602031250001,14200,21.70569168654222,157,1000.0,57,7.9,21.70569168654222,0.0003,44,32,1.6069775394991734e-12,22.636066,561,243,0.04919776,3.415875
,,,,,,,,36000,13,10.734156083333335,22200,18.000356481112764,244,1000.0,49,10.7,18.000356481112764,0.0003,50,36,1.9202658399543744e-12,19.883682,730,313,0.025280954,2.4093401
