eval_discount_q,eval_qs,eval_eplenmean,eval_time_elapsed,eval_ep_rewmean,eval_qs_difference,total timesteps,eval mean 100 episode reward,eval_abs_qs_difference,n_updates,train_time,discount_q,current_lr,qs_mean,qs_difference,time_elapsed,mean 100 episode reward,fps,episodes,eplenmean,env_time,update_time,act_time,ep_rewmean,qs_abs_difference,q_grad_norm,qfs_loss
5.646317492127885,-0.841745,1000.0,24,22.176810454545457,-2.5004406225680027,1,21.8,4.2636995,,,,,,,,,,,,,,,,,,
,,,,,,4000,,,0,0,1.6081873432294464e-13,0.0003,0.7354629,0.8549766551738599,36,-4.9,110,4,1000.0,6,3,0,-4.850093,6.039618503188499,,
,,,,,,8000,,,0,0,-2.4127713712889436e-13,0.0003,0.756941,-1.3923250306387502,54,0.3,146,8,1000.0,11,14,1,0.3095405000000002,5.9265304812914215,,
6.792329290867261,-0.84632796,1000.0,24,21.730535272727277,-2.3469409455012085,10001,22.0,4.119504,,,,,,,,,,,,,,,,,,
,,,,,,12000,,,0,0,2.2042444723869689e-13,0.0003,0.50814825,0.47796557001465156,104,-1.1,115,12,1000.0,17,31,2,-1.1447155833333331,5.354400599403922,,
,,,,,,16000,,,0,0,2.960136080017978e-13,0.0003,0.56613624,-0.1621393697106854,136,1.7,117,16,1000.0,23,56,2,1.6541383125000007,4.842968258389587,,
,,,,,,20000,,,0,0,-1.1249046301144516e-14,0.0003,0.6124157,0.5127546518417119,178,1.0,112,20,1000.0,29,89,3,0.9549428500000003,3.022517051701222,,
7.06964652713919,-0.8497708,1000.0,25,20.54679836363636,-2.204555582175514,20001,21.5,3.9853537,,,,,,,,,,,,,,,,,,
,,,,,,24000,,,0,0,-2.779339723917381e-13,0.0003,0.550133,0.9163491739268014,256,-0.2,93,24,1000.0,35,134,4,-0.1857977083333333,3.7558703709553085,,
,,,,,,28000,,,6200,70,1.5846648053654234e-12,0.0003,21.317755,20.6348060759293,390,2.8,71,28,1000.0,41,186,6,2.7924584285714285,20.6348060759293,3.5716326,0.1967691
24.580022736371987,25.117054,1000.0,24,36.98013318181818,23.85246517987989,30001,25.1,23.852467,,,,,,,,,,,,,,,,,,
,,,,,,32000,,,14200,159,1.6191107707966767e-12,0.0003,22.972721,22.975422508006478,575,6.7,55,32,1000.0,46,248,10,6.65095040625,22.975422508006478,2.217434,0.03151677
,,,,,,36000,,,22200,247,2.157332597205347e-12,0.0003,19.47963,17.8442260271072,741,10.1,48,36,1000.0,52,315,13,10.145773777777777,17.8442260271072,2.1379783,0.025134271
,,,,,,40000,,,30200,331,1.8085203256208579e-12,0.0003,15.673697,14.682538780767965,909,12.4,43,40,1000.0,58,387,17,12.393521075,14.682538780767965,2.0965471,0.019728526
24.640252112026282,15.235854,1000.0,23,34.15220972727273,14.260016909655462,40001,27.0,14.260016,,,,,,,,,,,,,,,,,,
,,,,,,44000,,,38200,415,1.9797404643938523e-12,0.0003,16.341957,14.27827218801579,1109,14.9,39,44,1000.0,64,469,20,14.883236863636364,14.27827218801579,2.0922582,0.019804448
,,,,,,48000,,,46200,503,2.3570435015799685e-12,0.0003,21.296703,19.59376033820131,1295,17.0,37,48,1000.0,70,557,23,17.028753729166667,19.59376033820131,1.9578433,0.023571508
24.058865382762193,17.874485,1000.0,24,35.689471636363635,16.68736613291388,50001,28.3,16.687365,,,,,,,,,,,,,,,,,,
,,,,,,52000,,,54200,592,2.037923869552999e-12,0.0003,19.365808,17.449151266245675,1518,18.6,34,52,1000.0,75,655,27,18.591141634615386,17.449151266245675,1.613423,0.01830386
,,,,,,56000,,,62200,682,2.173504272941304e-12,0.0003,16.568605,15.01108048441321,1723,20.6,32,56,1000.0,81,759,30,20.638688000000002,15.01108048441321,1.672978,0.015702777
,,,,,,60000,,,70200,774,2.343720901100297e-12,0.0003,13.165104,11.361127515691052,1942,22.2,30,60,1000.0,87,875,34,22.183597583333338,11.361127515691052,1.4524748,0.013015784
29.625858241223717,12.336509,1000.0,22,51.33830072727272,10.135639345295827,60001,31.6,10.135639,,,,,,,,,,,,,,,,,,
,,,,,,64000,,,78200,862,2.3469868614240457e-12,0.0003,10.141749,8.400337689671458,2186,23.7,29,64,1000.0,92,998,37,23.704924890625,8.400337689671458,1.2827655,0.011234051
,,,,,,68000,,,86200,950,2.2473137110648818e-12,0.0003,8.493882,6.856521891562738,2415,25.0,28,68,1000.0,98,1128,40,24.976277058823527,6.856521891562738,1.5352583,0.0130636105
28.931569149369068,7.0623136,1000.0,23,51.634524000000006,4.763087070668117,70001,34.0,4.7676635,,,,,,,,,,,,,,,,,,
,,,,,,72000,,,94200,1041,2.4028643735399857e-12,0.0003,6.607394,5.212451819974608,2679,26.3,26,72,1000.0,104,1267,44,26.273114569444445,5.212451819974608,1.631692,0.013093896
,,,,,,76000,,,102200,1129,2.425922681416488e-12,0.0003,6.1415024,3.680768213941213,2922,27.6,26,76,1000.0,110,1410,47,27.638909815789482,3.680768213941213,1.6102014,0.014629564
,,,,,,80000,,,110200,1220,2.2173206254951723e-12,0.0003,9.0433855,2.4051822547854034,3177,29.3,25,80,1000.0,115,1563,51,29.31434145,2.4051822547854034,1.4057955,0.015420125
30.927913513287127,9.310539,1000.0,23,118.15750227272726,0.5566520022554715,80001,42.8,1.1677053,,,,,,,,,,,,,,,,,,
,,,,,,84000,,,118200,1310,2.481608449980952e-12,0.0003,8.060579,3.7921154647244073,3462,31.4,24,84,1000.0,121,1725,54,31.426787392857143,3.7921154647244073,1.2153354,0.011816042
,,,,,,88000,,,126200,1401,2.423516599707947e-12,0.0003,10.499372,1.1950387643428864,3724,34.9,23,88,1000.0,127,1885,57,34.91382635227273,1.2750644071425208,1.5667018,0.01562792
31.254440075036538,9.323646,1000.0,23,111.34583200000002,1.2832520516320118,90001,52.3,1.4234315,,,,,,,,,,,,,,,,,,
,,,,,,92000,,,134200,1490,2.550872222962493e-12,0.0003,10.889249,0.9087892604669991,4022,38.4,22,92,1000.0,132,2060,61,38.39364791304347,0.9336169493424818,1.5548563,0.013506932
,,,,,,96000,,,142200,1579,2.6067696980499977e-12,0.0003,11.354145,0.5922116218566025,4299,42.3,22,96,1000.0,138,2237,64,42.3001131875,0.9711627749245743,1.5414528,0.015148952
,,,,,,100000,,,150200,1671,2.5126757203685545e-12,0.0003,12.203436,0.734030154970681,4585,46.2,21,100,1000.0,143,2421,67,46.18171141,0.8277476363303856,1.6291903,0.015817113
30.859697313484194,9.242034,1000.0,24,101.59820372727273,2.137323053107192,100001,61.7,2.1908443,,,,,,,,,,,,,,,,,,
,,,,,,104000,,,158200,1759,2.7020876991966737e-12,0.0003,13.495906,1.4194757865792327,4895,52.0,21,104,1000.0,149,2608,70,51.95678847000001,1.4289920944181391,1.5205804,0.01335037
,,,,,,108000,,,166200,1847,2.548691991658648e-12,0.0003,13.84927,1.4999509386352994,5187,57.6,20,108,1000.0,154,2802,74,57.639363380000006,1.5008786315803746,1.4684393,0.012752343
