total timesteps,eval_time_elapsed,eval_qs_difference,eval mean 100 episode reward,eval_abs_qs_difference,eval_qs,eval_ep_rewmean,eval_eplenmean,eval_discount_q,fps,qs_difference,update_time,act_time,train_time,time_elapsed,n_updates,env_time,ep_rewmean,eplenmean,episodes,current_lr,mean 100 episode reward,qs_abs_difference,discount_q,qs_mean,q_grad_norm,qfs_loss
1,24,0.13571019746886656,1.5,3.4901247,-0.6693877,-1.0582153636363634,1000.0,7.063397471650249,,,,,,,,,,,,,,,,,,
4000,,,,,,,,,108,-0.5166406191505293,3,0,0,36,0,6,-2.5769530000000005,1000.0,4,0.0003,-2.6,4.277432773503568,-3.3099375797908696e-14,-0.080711454,,
8000,,,,,,,,,142,0.4093675144783076,14,1,0,56,0,12,-2.1039372500000004,1000.0,8,0.0003,-2.1,3.978088136506383,-6.971200902134358e-14,-0.11953757,,
10001,23,0.11374293422829784,-1.4,4.341235,-0.6559775,-0.847170454545455,1000.0,6.919226220220162,,,,,,,,,,,,,,,,,,
12000,,,,,,,,,114,-0.5502352568609017,32,2,0,104,0,17,-2.4021383333333337,1000.0,12,0.0003,-2.4,2.9568415392396954,4.5193663039624954e-14,-0.03448138,,
16000,,,,,,,,,117,-0.13365976000723195,56,2,0,136,0,23,-2.1322190625,1000.0,16,0.0003,-2.1,3.67197428653979,3.688694725233974e-14,-0.08601723,,
20000,,,,,,,,,111,1.8013133299916622,91,3,0,179,0,29,-3.2722706,1000.0,20,0.0003,-3.3,4.021364407212078,-2.887995086501028e-13,-0.05610895,,
20001,24,0.5370306177969633,-2.8,1.7141246,-0.67977875,-5.125530909090909,1000.0,7.113700203983617,,,,,,,,,,,,,,,,,,
24000,,,,,,,,,94,-0.1704188726971754,134,4,0,254,0,35,-2.8288769166666667,1000.0,24,0.0003,-2.8,3.1549285751600302,-3.8124686550141564e-13,-0.13384545,,
28000,,,,,,,,,71,18.88039587453484,185,6,73,388,6200,41,0.8346742500000001,1000.0,28,0.0003,0.8,18.88039587453484,1.9125904672007332e-12,20.946375,4.243494,0.30343208
30001,24,25.108271128745287,5.1,25.10827,26.014986,29.587964000000003,1000.0,20.728115238984252,,,,,,,,,,,,,,,,,,
32000,,,,,,,,,56,21.88949400120898,244,10,160,570,14200,46,4.722466593749999,1000.0,32,0.0003,4.7,21.88949400120898,2.2076632453605873e-12,22.21819,2.4382703,0.033937372
36000,,,,,,,,,48,20.4198115697048,313,13,247,736,22200,52,8.0824665,1000.0,36,0.0003,8.1,20.4198115697048,2.0240408707873174e-12,21.564823,2.0512073,0.023637906
40000,,,,,,,,,44,22.29521641421925,386,16,334,907,30200,57,10.542539849999999,1000.0,40,0.0003,10.5,22.29521641421925,1.8732342506774768e-12,22.428364,1.6490314,0.017297419
40001,24,17.29563071760098,10.6,17.295631,17.905,31.378979909090905,1000.0,25.540671408355255,,,,,,,,,,,,,,,,,,
44000,,,,,,,,,39,11.669534134768634,469,20,421,1112,38200,63,12.652624409090906,1000.0,44,0.0003,12.7,11.669534134768634,2.0374299451479884e-12,12.496969,1.5444793,0.01681779
48000,,,,,,,,,36,8.84307498363516,559,23,509,1302,46200,69,14.2915074375,1000.0,48,0.0003,14.3,8.84307498363516,2.14515758668316e-12,9.785422,1.9393235,0.030851873
50001,22,17.63907754639052,14.2,17.639076,18.602802,33.14490563636363,1000.0,23.745110416462943,,,,,,,,,,,,,,,,,,
52000,,,,,,,,,34,32.81623925273401,658,27,595,1520,54200,75,15.38808253846154,1000.0,52,0.0003,15.4,32.81623925273401,1.8916767010869694e-12,35.250027,1.9610314,0.023192823
56000,,,,,,,,,32,20.639964460141986,762,30,684,1723,62200,80,16.942852839285713,1000.0,56,0.0003,16.9,20.639964460141986,1.835172738406049e-12,18.952763,1.3910464,0.014314438
60000,,,,,,,,,30,12.589240573074902,879,33,771,1938,70200,86,18.6991608,1000.0,60,0.0003,18.7,12.589240573074902,2.152156310451286e-12,14.340798,1.2428069,0.0110979555
60001,23,11.141489452991813,20.2,11.14149,13.999771,57.41002954545454,1000.0,29.11839063325594,,,,,,,,,,,,,,,,,,
64000,,,,,,,,,29,9.81180320721051,998,37,860,2180,78200,92,20.471305484375,1000.0,64,0.0003,20.5,9.81180320721051,2.21460395268832e-12,11.413258,1.3552797,0.011164843
68000,,,,,,,,,28,7.479283819664721,1124,40,949,2406,86200,97,22.065913794117648,1000.0,68,0.0003,22.1,7.479283819664721,2.157386341411542e-12,9.534424,1.1708894,0.010711017
70001,23,6.715173775615072,23.5,6.7151737,8.396738,45.15348163636364,1000.0,28.624079641034758,,,,,,,,,,,,,,,,,,
72000,,,,,,,,,27,6.1061981319849234,1258,44,1039,2663,94200,103,23.561221777777778,1000.0,72,0.0003,23.6,6.1061981319849234,2.4405215200866536e-12,8.217581,1.4210657,0.012277514
76000,,,,,,,,,26,5.212261375573172,1405,47,1125,2908,102200,109,24.865488131578946,1000.0,76,0.0003,24.9,5.212261375573172,2.259834105225033e-12,7.2414694,1.4333795,0.01263429
80000,,,,,,,,,25,4.196838203972747,1555,50,1212,3156,110200,114,26.096628387499997,1000.0,80,0.0003,26.1,4.196838203972747,2.3502549455848116e-12,6.2634873,1.7013735,0.014456077
80001,24,3.990620138888073,26.2,3.9906816,5.9848857,48.13693336363636,1000.0,28.479065705134815,,,,,,,,,,,,,,,,,,
84000,,,,,,,,,24,2.902699766236965,1714,54,1299,3436,118200,120,27.395657488095242,1000.0,84,0.0003,27.4,2.902699766236965,2.1396348968260214e-12,5.7023916,2.1919274,0.01706509
88000,,,,,,,,,23,4.016113511354592,1878,57,1386,3699,126200,126,28.451209681818174,1000.0,88,0.0003,28.5,4.016113511354592,2.3198265537104518e-12,6.3563995,2.4668696,0.02319857
90001,23,5.654805549317849,30.0,5.6548057,7.155104,42.22074036363636,1000.0,27.492678895228014,,,,,,,,,,,,,,,,,,
92000,,,,,,,,,23,4.358197496251655,2050,61,1472,3992,134200,132,29.411070793478256,1000.0,92,0.0003,29.4,4.358197496251655,2.2946282849590632e-12,6.682493,1.7203116,0.017551795
96000,,,,,,,,,22,2.1683840485266836,2230,64,1559,4270,142200,137,31.434454875,1000.0,96,0.0003,31.4,2.1977846506990524,2.2725326269119538e-12,8.15539,1.3961232,0.015807068
100000,,,,,,,,,21,1.5701126536295793,2416,67,1646,4553,150200,143,33.88484449,1000.0,100,0.0003,33.9,1.5701126536295793,2.459245790514176e-12,8.43408,1.4302999,0.014674186
100001,24,2.6556802213550146,38.7,2.6585422,7.212796,74.57125990909091,1000.0,29.29302807688409,,,,,,,,,,,,,,,,,,
104000,,,,,,,,,21,2.8824783320883536,2600,71,1732,4858,158200,149,38.285144880000004,1000.0,104,0.0003,38.3,2.8824783320883536,2.4159317456199603e-12,10.734914,1.1417156,0.012126177
108000,,,,,,,,,20,1.1456151081617791,2790,74,1821,5148,166200,154,42.58555621000001,1000.0,108,0.0003,42.6,1.153831258079102,2.4626102901638337e-12,9.178195,1.0478923,0.012238307
110001,23,1.0280688219241396,50.6,1.1783934,8.836768,108.9194139090909,1000.0,31.1438602156451,,,,,,,,,,,,,,,,,,
112000,,,,,,,,,20,1.2829922004894976,2980,77,1909,5461,174200,160,47.36050225999998,1000.0,112,0.0003,47.4,1.3079665874526618,2.449514412905276e-12,10.355282,1.2506479,0.011918421
116000,,,,,,,,,20,1.6323891570314526,3170,81,1995,5748,182200,165,52.412549850000005,1000.0,116,0.0003,52.4,1.6346690555501038,2.432262768846038e-12,11.140485,1.381895,0.012507668
120000,,,,,,,,,19,1.6365266105879606,3367,84,2086,6046,190200,171,57.94356695,1000.0,120,0.0003,57.9,1.6473054373855889,2.5559509899314974e-12,11.794978,1.1765019,0.010717904
120001,23,1.42550693967043,62.4,1.5654918,11.615858,133.24816600000003,1000.0,31.66127514662078,,,,,,,,,,,,,,,,,,
124000,,,,,,,,,19,1.805092042258865,3556,87,2172,6356,198200,177,63.10965086,1000.0,124,0.0003,63.1,1.805092042258865,2.7028836723503026e-12,11.421149,1.2474223,0.009908608
128000,,,,,,,,,19,2.1650359224609694,3745,91,2259,6643,206200,182,67.19274647,1000.0,128,0.0003,67.2,2.1656229476245783,2.5916886109204254e-12,11.562316,1.0416076,0.0077786986
130001,23,1.9620641654530286,72.9,1.9946656,11.496294,126.80772481818181,1000.0,31.783257967094926,,,,,,,,,,,,,,,,,,
132000,,,,,,,,,18,2.5101784796576196,3931,94,2343,6948,214200,188,70.77586237,1000.0,132,0.0003,70.8,2.5101784796576196,2.5953170231119015e-12,11.66183,1.1177628,0.008159399
136000,,,,,,,,,18,2.4210436085270377,4117,98,2429,7230,222200,194,74.45961571,1000.0,136,0.0003,74.5,2.4210436085270377,2.7089190131618067e-12,11.573752,0.9476149,0.0076870266
140000,,,,,,,,,18,2.6377375882537044,4314,101,2519,7528,230200,199,78.24729208,1000.0,140,0.0003,78.2,2.6377375882537044,2.676367637189448e-12,12.072756,0.9673961,0.006352059
140001,23,1.782087552601802,84.2,1.8211224,12.075898,134.72687972727272,1000.0,32.10986866725505,,,,,,,,,,,,,,,,,,
144000,,,,,,,,,18,2.171537542992507,4509,104,2609,7846,238200,205,82.08711203000001,1000.0,144,0.0003,82.1,2.171537542992507,2.654032301530139e-12,12.193362,0.9165063,0.0063316138
148000,,,,,,,,,18,2.226554932301992,4705,107,2697,8141,246200,210,86.12354963999998,1000.0,148,0.0003,86.1,2.226554932301992,2.5509393434950073e-12,12.390838,0.8125374,0.005049763
