eval mean 100 episode reward,eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,total timesteps,eval_qs,eval_time_elapsed,eval_discount_q,qs_abs_difference,episodes,ep_rewmean,fps,env_time,eplenmean,train_time,qs_difference,qs_mean,time_elapsed,mean 100 episode reward,update_time,current_lr,act_time,discount_q,n_updates,q_grad_norm,qfs_loss
-22.0,1000.0,0.6348359103246181,-21.609891,0.91190964,1,-0.41538122,25,-11.219918701757207,,,,,,,,,,,,,,,,,,
,,,,,4000,,,,4.62226813130637,4,-3.5860814999999997,105,5,1000.0,0,-0.4191162617449048,0.047759034,37,-3.6,3,0.0003,0,3.8517574939468757e-14,0,,
,,,,,8000,,,,3.374555904228152,8,-7.036723,138,11,1000.0,0,0.026617598823557045,0.039147228,57,-7.0,15,0.0003,1,-6.967532324888467e-14,0,,
-20.4,1000.0,0.42643550006654407,-18.833205999999997,0.84124494,10001,-0.417015,23,-10.503738437300022,,,,,,,,,,,,,,,,,,
,,,,,12000,,,,6.169342078746992,12,-4.0110098333333335,111,17,1000.0,0,-0.745792133332133,0.028614268,107,-4.0,33,0.0003,2,-5.091571785184713e-13,0,,
,,,,,16000,,,,3.180541564559393,16,-2.9289173125,114,23,1000.0,0,0.858531878888507,0.015197068,140,-2.9,58,0.0003,2,-1.3090765013480025e-13,0,,
,,,,,20000,,,,6.424655625925047,20,-3.00000995,111,28,1000.0,0,-1.6071673325307625,-0.036569983,178,-3.0,89,0.0003,3,1.861897013904839e-14,0,,
-20.2,1000.0,0.5071981690966036,-20.336826272727272,0.89404505,20001,-0.42052868,22,-11.171270412596899,,,,,,,,,,,,,,,,,,
,,,,,24000,,,,3.550024595331863,24,-3.104794416666667,96,34,1000.0,0,-1.7152786010536942,0.019636177,247,-3.1,128,0.0003,4,-1.0269816901584024e-13,0,,
,,,,,28000,,,,17.668955430866358,28,0.8206629999999996,73,40,1000.0,72,17.668955430866358,18.432316,379,0.8,177,0.0003,6,1.8176963091433804e-12,6200,6.0389094,0.2687557
-9.6,1000.0,31.060061835714087,25.436439545454547,31.060064,30001,31.510345,23,21.145048630052603,,,,,,,,,,,,,,,,,,
,,,,,32000,,,,27.444086942325704,32,4.5431021875,57,46,1000.0,159,27.444086942325704,28.251894,561,4.5,237,0.0003,10,1.002424291590428e-12,14200,5.5028486,0.060492
,,,,,36000,,,,30.184726708497873,36,8.777938944444445,49,51,1000.0,250,30.184726708497873,31.986609,731,8.8,306,0.0003,13,2.0005659156790844e-12,22200,3.7666564,0.031267494
,,,,,40000,,,,26.12749013595647,40,11.737787550000002,44,57,1000.0,341,26.12749013595647,28.190939,908,11.7,381,0.0003,17,1.8945651284128718e-12,30200,2.892045,0.024419308
-0.9,1000.0,23.887259724964455,33.901866,23.88726,40001,24.989082,24,23.114782540789477,,,,,,,,,,,,,,,,,,
,,,,,44000,,,,28.212811997778115,44,13.191260272727277,39,63,1000.0,429,28.212811997778115,27.506025,1114,13.2,464,0.0003,20,1.7881063987906853e-12,38200,2.0689757,0.016218973
,,,,,48000,,,,13.810880371428823,48,15.483492437499999,36,68,1000.0,517,13.810880371428823,15.358693,1304,15.5,556,0.0003,23,2.108979874396513e-12,46200,1.5177456,0.013195923
6.3,1000.0,10.899437296002812,42.82483781818182,10.899437,50001,12.351193,24,28.593201420529315,,,,,,,,,,,,,,,,,,
,,,,,52000,,,,12.30563129627688,52,17.050552865384613,34,74,1000.0,604,12.30563129627688,12.6542,1525,17.1,654,0.0003,27,1.8972114107735345e-12,54200,1.4389715,0.013746795
,,,,,56000,,,,7.635807029797764,56,18.617676767857144,32,80,1000.0,692,7.635807029797764,8.461508,1730,18.6,761,0.0003,30,2.1952220440955957e-12,62200,1.3892579,0.011695358
,,,,,60000,,,,5.62781353204633,60,20.09408405,30,85,1000.0,779,5.62781353204633,6.572789,1943,20.1,876,0.0003,33,2.3368355023169428e-12,70200,1.6006355,0.013232427
11.1,1000.0,6.126999617271719,38.91571963636363,6.127357,60001,7.122539,22,29.252852106916098,,,,,,,,,,,,,,,,,,
,,,,,64000,,,,3.780233239548965,64,21.6808018125,29,91,1000.0,866,3.780233239548965,5.8068852,2181,21.7,994,0.0003,37,2.1581005427220007e-12,78200,1.3283391,0.009769988
,,,,,68000,,,,1.9316566044014816,68,22.99515588235294,28,97,1000.0,951,1.9316566044014816,3.6518397,2404,23.0,1122,0.0003,40,2.376141112436376e-12,86200,1.3380374,0.011124929
15.4,1000.0,2.361972614836638,45.535501272727274,2.4105933,70001,4.0005817,24,29.44384748554376,,,,,,,,,,,,,,,,,,
,,,,,72000,,,,2.17502006677243,72,24.284802819444444,27,103,1000.0,1038,2.17502006677243,3.564728,2666,24.3,1261,0.0003,44,2.4507768421511368e-12,94200,1.451839,0.012682094
,,,,,76000,,,,1.028289002247418,76,25.427197289473682,26,109,1000.0,1124,0.9655291120080134,2.9079385,2910,25.4,1408,0.0003,47,2.45438319120229e-12,102200,1.2199636,0.012812573
